# Version: v1.0.16-src
example_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,149.14,149.14,0.94,0.12,407,97.18
Read 2 (I),20.87,20.87,0.00,nan,662,95.07
Non-indexed,149.14,149.14,0.94,0.12,407,97.18
Total,170.01,170.01,0.94,0.12,534,96.92


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
5,2,56,2355 +/- 0,78.75 +/- 1.32,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,190.18,95.66,1.33,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,712 +/- 31
6,-,112,2355 +/- 0,75.47 +/- 2.33,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,364.49,94.86,2.56,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,675 +/- 43
6,1,56,2355 +/- 0,74.28 +/- 2.38,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,179.39,94.50,1.26,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,648 +/- 33
6,2,56,2355 +/- 0,76.65 +/- 1.57,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,185.10,95.22,1.30,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,703 +/- 34
7,-,112,2355 +/- 0,78.35 +/- 1.58,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,378.41,95.39,2.65,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,631 +/- 33
7,1,56,2355 +/- 0,78.50 +/- 1.70,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,189.57,95.27,1.33,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,614 +/- 24
7,2,56,2355 +/- 0,78.20 +/- 1.46,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,188.84,95.51,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,647 +/- 32
8,-,112,2355 +/- 0,78.09 +/- 3.19,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,377.18,94.75,2.64,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,634 +/- 36
8,1,56,2355 +/- 0,78.55 +/- 3.75,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,189.68,94.15,1.33,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,624 +/- 39
8,2,56,2355 +/- 0,77.64 +/- 2.47,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.50,95.36,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,644 +/- 29
Extracted: 59
Called: 59
Scored: 59
