#Position (bp)	Coverage
6.627253885E8	0.0
6.705682925E8	0.0
6.784111965E8	0.0
6.862541005E8	0.0
6.90332274E8	0.0
6.94253726E8	0.0
7.019399085E8	0.0
7.097828125E8	0.0
7.176257165E8	0.0
7.254686205E8	0.0
7.333115245E8	0.0
7.411544285E8	0.0
7.489973325E8	0.0
7.568402365E8	0.0
7.646831405E8	0.0
7.725260445E8	0.0
7.803689485E8	0.0
7.882118525E8	0.0
7.960547565E8	0.0
8.038976605E8	0.0
8.117405645E8	0.0
8.195834685E8	0.0
8.274263725E8	0.0
8.352692765E8	0.0
8.431121805E8	0.0
8.509550845E8	0.0
8.587979885E8	0.0
8.666408925E8	0.0
8.744837965E8	0.0
8.8002426E8	0.0
8.83945712E8	0.0
8.901696045E8	0.0
8.980125085E8	0.0
9.058554125E8	0.0
9.136983165E8	0.0
9.215412205E8	0.0
9.293841245E8	0.0
9.372270285E8	0.0
9.450699325E8	0.0
9.529128365E8	0.0
9.607557405E8	0.0
9.685986445E8	0.0
9.764415485E8	0.0
9.842844525E8	0.0
9.921273565E8	0.0
9.999702605E8	0.0
1.0078131645E9	0.0
1.0156560685E9	0.0
1.0234989725E9	0.0
1.0313418765E9	0.0
1.0391847805E9	0.0
1.0470276845E9	0.0
1.0548705885E9	0.0
1.060675286E9	0.0
1.064596738E9	0.0
1.0705563965E9	0.0
1.0783993005E9	0.0
1.0862422045E9	0.0
1.0940851085E9	0.0
1.1019280125E9	0.0
1.1097709165E9	0.0
1.1176138205E9	0.0
1.1254567245E9	0.0
1.1332996285E9	0.0
1.1411425325E9	0.0
1.1489854365E9	0.0
1.1568283405E9	0.0
1.1646712445E9	0.0
1.1725141485E9	0.0
1.1803570525E9	0.0
1.1881999565E9	0.0
1.1960428605E9	0.0
1.2038857645E9	0.0
1.2117286685E9	0.0
1.2195715725E9	0.0
1.2274144765E9	0.0
1.2325047635E9	0.0
1.2364262155E9	0.0
1.2431002845E9	0.0
1.2509431885E9	0.0
1.2587860925E9	0.0
1.2666289965E9	0.0
1.2744719005E9	0.0
1.2823148045E9	0.0
1.2901577085E9	0.0
1.2980006125E9	0.0
1.3058435165E9	0.0
1.3136864205E9	0.0
1.3215293245E9	0.0
1.3293722285E9	0.0
1.3372151325E9	0.0
1.3450580365E9	0.0
1.3529009405E9	0.0
1.3607438445E9	0.0
1.3685867485E9	0.0
1.3764296525E9	0.0
1.3842725565E9	0.0
1.390503135E9	0.0
1.394424587E9	0.0
1.3999583645E9	0.0
1.4078012685E9	0.0
1.4156441725E9	0.0
1.4234870765E9	0.0
1.4313299805E9	0.0
1.4391728845E9	0.0
1.4470157885E9	0.0
1.4548586925E9	0.0
1.4627015965E9	0.0
1.4705445005E9	0.0
1.4783874045E9	0.0
1.4862303085E9	0.0
1.4940732125E9	0.0
1.5019161165E9	0.0
1.5097590205E9	0.0
1.5176019245E9	0.0
1.5254448285E9	0.0
1.5332877325E9	0.0
1.538192734E9	0.0
1.542114186E9	0.0
1.5489735405E9	0.0
1.5568164445E9	0.0
1.5646593485E9	0.0
1.5725022525E9	0.0
1.5803451565E9	0.0
1.5881880605E9	0.0
1.5960309645E9	0.0
1.6038738685E9	0.0
1.6117167725E9	0.0
1.6195596765E9	0.0
1.6274025805E9	0.0
1.6352454845E9	0.0
1.6430883885E9	0.0
1.6509312925E9	0.0
1.6587741965E9	0.0
1.6666171005E9	0.0
1.6744600045E9	0.0
1.6793855855E9	0.0
1.6833070375E9	0.0
1.6901458125E9	0.0
1.6979887165E9	0.0
1.7058316205E9	0.0
1.7136745245E9	0.0
1.7215174285E9	0.0
1.7293603325E9	0.0
1.7372032365E9	0.0
1.7450461405E9	0.0
1.7528890445E9	0.0
1.7607319485E9	0.0
1.7685748525E9	0.0
1.7764177565E9	0.0
1.7842606605E9	0.0
1.7921035645E9	0.0
1.7999464685E9	0.0
1.8077893725E9	0.0
1.813817643E9	0.0
1.817739095E9	0.0
1.8234751805E9	0.0
1.8313180845E9	0.0
1.8391609885E9	0.0
1.8470038925E9	0.0
1.8548467965E9	0.0
1.8626897005E9	0.0
1.8705326045E9	0.0
1.8783755085E9	0.0
1.8862184125E9	0.0
1.8940613165E9	0.0
1.9019042205E9	0.0
1.9097471245E9	0.0
1.9175900285E9	0.0
1.9254329325E9	0.0
1.9332758365E9	0.0
1.9411187405E9	0.0
1.947985585E9	0.0
1.951907037E9	0.0
1.9568045485E9	0.0
1.9646474525E9	0.0
1.9724903565E9	0.0
1.9803332605E9	0.0
1.9881761645E9	0.0
1.9960190685E9	0.0
2.0038619725E9	0.0
2.0117048765E9	0.0
2.0195477805E9	0.0
2.0273906845E9	0.0
2.0352335885E9	0.0
2.0430764925E9	0.0
2.0509193965E9	0.0
2.0587623005E9	0.0
2.0666052045E9	0.0
2.0744481085E9	0.0
2.0815762165E9	0.0
