#Position (bp)	mapping quality
2.921754783E9	0.0
2.92959842E9	0.0
2.937442057E9	0.0
2.945285694E9	0.0
2.953129331E9	0.0
2.960972968E9	0.0
2.968816605E9	0.0
2.976660242E9	0.0
2.984503879E9	0.0
2.992347516E9	0.0
3.000191153E9	0.0
3.00803479E9	0.0
3.015878427E9	0.0
3.023722064E9	0.0
3.031565701E9	0.0
3.035895683E9	0.0
3.0398175015E9	0.0
3.047252975E9	0.0
3.055096612E9	0.0
3.062940249E9	0.0
3.070783886E9	0.0
3.078627523E9	0.0
3.08647116E9	0.0
3.0930351955E9	0.0
3.095685697E9	0.0
3.0956961125E9	0.0
3.0957057475E9	0.0
3.095723208E9	0.0
3.0957468575E9	0.0
3.0957743915E9	0.0
3.0958051445E9	0.0
3.0958392935E9	0.0
3.0958746045E9	0.0
3.0959108895E9	0.0
3.095947426E9	0.0
3.095984339E9	0.0
3.0960216755E9	0.0
3.0960595015E9	0.0
3.0960978295E9	0.0
3.0961365375E9	0.0
3.0961758875E9	0.0
3.096215745E9	0.0
3.096255679E9	0.0
3.0962957E9	0.0
3.096336017E9	0.0
3.0963766085E9	0.0
3.096417435E9	0.0
3.096458902E9	0.0
3.0965008355E9	0.0
3.0965428785E9	0.0
3.096585625E9	0.0
3.096629057E9	0.0
3.096672664E9	0.0
3.096717443E9	0.0
3.096763347E9	0.0
3.0968269725E9	0.0
3.09691267E9	0.0
3.097004057E9	0.0
3.097103618E9	0.0
3.0972210215E9	0.0
3.0973497685E9	0.0
3.0974831875E9	0.0
3.097629745E9	0.0
3.097787028E9	0.0
3.097947186E9	0.0
3.0981086605E9	0.0
3.0982130885E9	0.0
3.098295208E9	0.0
3.0984370835E9	0.0
3.0986053035E9	0.0
3.098776315E9	0.0
3.0989485365E9	0.0
3.099120956E9	0.0
3.0992945225E9	0.0
3.0994714155E9	0.0
3.099650861E9	0.0
3.099830935E9	0.0
3.1000126105E9	0.0
3.1001974875E9	0.0
3.100384347E9	0.0
3.100571295E9	0.0
3.100759707E9	0.0
3.100950336E9	0.0
3.101151657E9	0.0
3.1015309915E9	0.0
3.101890651E9	0.0
3.1040284075E9	0.0
3.110002071E9	0.0
3.117845708E9	0.0
3.125689345E9	0.0
3.1335328345E9	0.0
