sample	read_end	cycle	frac_a	frac_c	frac_g	frac_t	frac_n
HG03953	1	148	0.29369	0.20534	0.20673	0.29421	0.00002
HG03953	1	149	0.29353	0.20549	0.20684	0.29411	0.00003
HG03953	1	150	0.29344	0.20553	0.20689	0.29414	0.00001
HG03953	2	1	0.31019	0.18710	0.19115	0.31076	0.00079
HG03953	2	2	0.30655	0.19108	0.19517	0.30715	0.00004
HG03953	2	3	0.30220	0.19552	0.19956	0.30271	0.00002
HG03953	2	4	0.29930	0.19848	0.20248	0.29972	0.00001
HG03953	2	5	0.30228	0.19528	0.19961	0.30283	0.00000
HG03953	2	6	0.29601	0.20150	0.20571	0.29677	0.00001
HG03953	2	7	0.29802	0.19991	0.20400	0.29805	0.00002
HG03953	2	8	0.29995	0.19790	0.20195	0.30017	0.00003
HG03953	2	9	0.30027	0.19742	0.20160	0.30071	0.00000
HG03953	2	10	0.29799	0.19976	0.20380	0.29845	0.00000
HG03953	2	11	0.29941	0.19822	0.20247	0.29989	0.00001
HG03953	2	12	0.29920	0.19819	0.20252	0.30008	0.00001
HG03953	2	13	0.30096	0.19657	0.20072	0.30172	0.00002
HG03953	2	14	0.29995	0.19725	0.20173	0.30106	0.00000
HG03953	2	15	0.29932	0.19771	0.20230	0.30067	0.00000
HG03953	2	16	0.29927	0.19798	0.20248	0.30026	0.00001
HG03953	2	17	0.29916	0.19809	0.20251	0.30018	0.00007
HG03953	2	18	0.29873	0.19844	0.20284	0.29985	0.00014
HG03953	2	19	0.29832	0.19870	0.20332	0.29954	0.00013
HG03953	2	20	0.29760	0.19941	0.20403	0.29888	0.00008
HG03953	2	21	0.29786	0.19932	0.20373	0.29903	0.00007
HG03953	2	22	0.29732	0.19977	0.20439	0.29846	0.00007
HG03953	2	23	0.29747	0.19971	0.20437	0.29838	0.00007
HG03953	2	24	0.29632	0.20052	0.20546	0.29762	0.00008
HG03953	2	25	0.29660	0.20040	0.20511	0.29781	0.00008
HG03953	2	26	0.29630	0.20069	0.20558	0.29736	0.00007
HG03953	2	27	0.29563	0.20138	0.20593	0.29692	0.00013
HG03953	2	28	0.29586	0.20127	0.20579	0.29694	0.00014
HG03953	2	29	0.29552	0.20130	0.20606	0.29699	0.00014
HG03953	2	30	0.29522	0.20161	0.20635	0.29666	0.00016
HG03953	2	31	0.29493	0.20196	0.20650	0.29648	0.00014
HG03953	2	32	0.29476	0.20213	0.20671	0.29625	0.00014
HG03953	2	33	0.29470	0.20217	0.20679	0.29622	0.00013
HG03953	2	34	0.29482	0.20220	0.20673	0.29604	0.00020
HG03953	2	35	0.29412	0.20273	0.20734	0.29554	0.00027
HG03953	2	36	0.29435	0.20264	0.20718	0.29556	0.00028
HG03953	2	37	0.29458	0.20238	0.20667	0.29610	0.00027
HG03953	2	38	0.29419	0.20276	0.20722	0.29555	0.00028
HG03953	2	39	0.29419	0.20272	0.20732	0.29544	0.00034
HG03953	2	40	0.29379	0.20302	0.20743	0.29549	0.00028
HG03953	2	41	0.29373	0.20289	0.20738	0.29552	0.00048
HG03953	2	42	0.29377	0.20286	0.20747	0.29548	0.00042
HG03953	2	43	0.29380	0.20286	0.20727	0.29558	0.00048
HG03953	2	44	0.29356	0.20326	0.20758	0.29506	0.00055
HG03953	2	45	0.29330	0.20336	0.20796	0.29490	0.00048
HG03953	2	46	0.29353	0.20312	0.20757	0.29530	0.00048
HG03953	2	47	0.29350	0.20330	0.20776	0.29489	0.00055
HG03953	2	48	0.29337	0.20355	0.20769	0.29479	0.00061
HG03953	2	49	0.29332	0.20356	0.20777	0.29473	0.00061
HG03953	2	50	0.29314	0.20367	0.20801	0.29458	0.00061
HG03953	2	51	0.29328	0.20331	0.20790	0.29483	0.00068
HG03953	2	52	0.29321	0.20344	0.20774	0.29486	0.00076
HG03953	2	53	0.29336	0.20327	0.20745	0.29504	0.00089
HG03953	2	54	0.29322	0.20336	0.20781	0.29465	0.00095
HG03953	2	55	0.29269	0.20380	0.20823	0.29427	0.00102
HG03953	2	56	0.29268	0.20374	0.20826	0.29422	0.00110
HG03953	2	57	0.29296	0.20357	0.20760	0.29483	0.00103
HG03953	2	58	0.29307	0.20353	0.20746	0.29486	0.00108
HG03953	2	59	0.29273	0.20358	0.20813	0.29448	0.00109
HG03953	2	60	0.29251	0.20412	0.20832	0.29395	0.00110
HG03953	2	61	0.29262	0.20385	0.20844	0.29400	0.00109
HG03953	2	62	0.29299	0.20388	0.20792	0.29412	0.00109
HG03953	2	63	0.29326	0.20346	0.20786	0.29434	0.00109
HG03953	2	64	0.29283	0.20365	0.20813	0.29423	0.00116
HG03953	2	65	0.29261	0.20374	0.20838	0.29417	0.00109
HG03953	2	66	0.29259	0.20392	0.20820	0.29419	0.00110
HG03953	2	67	0.29279	0.20404	0.20819	0.29390	0.00109
HG03953	2	68	0.29293	0.20389	0.20770	0.29438	0.00110
HG03953	2	69	0.29263	0.20392	0.20810	0.29412	0.00123
HG03953	2	70	0.29208	0.20426	0.20857	0.29393	0.00116
HG03953	2	71	0.29226	0.20415	0.20845	0.29398	0.00116
HG03953	2	72	0.29242	0.20432	0.20826	0.29389	0.00110
HG03953	2	73	0.29291	0.20411	0.20788	0.29400	0.00110
HG03953	2	74	0.29257	0.20394	0.20808	0.29424	0.00116
HG03953	2	75	0.29261	0.20424	0.20834	0.29378	0.00104
HG03953	2	76	0.29252	0.20406	0.20828	0.29388	0.00125
HG03953	2	77	0.29276	0.20407	0.20783	0.29417	0.00116
HG03953	2	78	0.29293	0.20395	0.20787	0.29396	0.00129
HG03953	2	79	0.29261	0.20430	0.20822	0.29363	0.00123
HG03953	2	80	0.29219	0.20451	0.20849	0.29370	0.00111
HG03953	2	81	0.29247	0.20399	0.20815	0.29409	0.00129
HG03953	2	82	0.29279	0.20410	0.20793	0.29408	0.00111
HG03953	2	83	0.29287	0.20387	0.20758	0.29445	0.00123
HG03953	2	84	0.29254	0.20434	0.20804	0.29397	0.00110
HG03953	2	85	0.29224	0.20447	0.20818	0.29386	0.00125
HG03953	2	86	0.29270	0.20407	0.20820	0.29387	0.00116
HG03953	2	87	0.29286	0.20397	0.20780	0.29421	0.00116
HG03953	2	88	0.29261	0.20434	0.20814	0.29369	0.00123
HG03953	2	89	0.29231	0.20444	0.20830	0.29379	0.00116
HG03953	2	90	0.29241	0.20457	0.20831	0.29355	0.00116
HG03953	2	91	0.29243	0.20445	0.20826	0.29360	0.00126
HG03953	2	92	0.29239	0.20432	0.20830	0.29389	0.00110
HG03953	2	93	0.29291	0.20417	0.20791	0.29385	0.00117
HG03953	2	94	0.29228	0.20455	0.20843	0.29361	0.00113
HG03953	2	95	0.29235	0.20458	0.20846	0.29350	0.00111
HG03953	2	96	0.29239	0.20448	0.20833	0.29370	0.00111
HG03953	2	97	0.29230	0.20446	0.20825	0.29386	0.00112
HG03953	2	98	0.29235	0.20443	0.20810	0.29394	0.00118
HG03953	2	99	0.29240	0.20454	0.20840	0.29355	0.00110
HG03953	2	100	0.29211	0.20474	0.20856	0.29342	0.00117
HG03953	2	101	0.29202	0.20486	0.20887	0.29315	0.00110
HG03953	2	102	0.29240	0.20443	0.20831	0.29366	0.00121
HG03953	2	103	0.29263	0.20427	0.20828	0.29357	0.00125
HG03953	2	104	0.29243	0.20452	0.20854	0.29340	0.00112
HG03953	2	105	0.29223	0.20455	0.20870	0.29335	0.00117
HG03953	2	106	0.29254	0.20439	0.20821	0.29376	0.00110
HG03953	2	107	0.29260	0.20418	0.20804	0.29414	0.00105
HG03953	2	108	0.29277	0.20421	0.20787	0.29409	0.00106
HG03953	2	109	0.29245	0.20447	0.20835	0.29362	0.00112
HG03953	2	110	0.29226	0.20436	0.20824	0.29403	0.00111
HG03953	2	111	0.29246	0.20434	0.20828	0.29379	0.00112
HG03953	2	112	0.29227	0.20447	0.20826	0.29383	0.00117
HG03953	2	113	0.29271	0.20420	0.20784	0.29407	0.00118
HG03953	2	114	0.29247	0.20427	0.20799	0.29410	0.00117
HG03953	2	115	0.29232	0.20446	0.20828	0.29376	0.00117
HG03953	2	116	0.29249	0.20440	0.20815	0.29379	0.00117
HG03953	2	117	0.29250	0.20447	0.20815	0.29377	0.00112
HG03953	2	118	0.29265	0.20426	0.20788	0.29409	0.00112
HG03953	2	119	0.29244	0.20436	0.20818	0.29390	0.00112
HG03953	2	120	0.29220	0.20470	0.20847	0.29353	0.00111
HG03953	2	121	0.29224	0.20474	0.20835	0.29351	0.00117
HG03953	2	122	0.29253	0.20427	0.20807	0.29395	0.00119
HG03953	2	123	0.29273	0.20423	0.20788	0.29393	0.00123
HG03953	2	124	0.29250	0.20445	0.20812	0.29376	0.00117
HG03953	2	125	0.29221	0.20450	0.20834	0.29371	0.00123
HG03953	2	126	0.29249	0.20421	0.20826	0.29381	0.00124
HG03953	2	127	0.29252	0.20424	0.20796	0.29404	0.00124
HG03953	2	128	0.29288	0.20418	0.20787	0.29378	0.00130
HG03953	2	129	0.29267	0.20429	0.20815	0.29372	0.00118
HG03953	2	130	0.29249	0.20445	0.20820	0.29369	0.00117
HG03953	2	131	0.29268	0.20449	0.20826	0.29338	0.00118
HG03953	2	132	0.29268	0.20450	0.20790	0.29367	0.00125
HG03953	2	133	0.29245	0.20460	0.20801	0.29374	0.00119
HG03953	2	134	0.29228	0.20465	0.20841	0.29349	0.00117
HG03953	2	135	0.29232	0.20467	0.20847	0.29351	0.00104
HG03953	2	136	0.29280	0.20420	0.20795	0.29389	0.00117
HG03953	2	137	0.29292	0.20432	0.20777	0.29395	0.00104
HG03953	2	138	0.29323	0.20409	0.20784	0.29380	0.00104
HG03953	2	139	0.29262	0.20424	0.20819	0.29384	0.00112
HG03953	2	140	0.29283	0.20427	0.20813	0.29366	0.00111
HG03953	2	141	0.29290	0.20434	0.20774	0.29385	0.00117
HG03953	2	142	0.29323	0.20404	0.20772	0.29385	0.00116
HG03953	2	143	0.29311	0.20394	0.20772	0.29417	0.00105
HG03953	2	144	0.29275	0.20419	0.20779	0.29407	0.00119
HG03953	2	145	0.29271	0.20441	0.20795	0.29376	0.00117
HG03953	2	146	0.29283	0.20422	0.20776	0.29415	0.00103
HG03953	2	147	0.29317	0.20390	0.20736	0.29440	0.00116
HG03953	2	148	0.29341	0.20392	0.20734	0.29423	0.00110
HG03953	2	149	0.29329	0.20387	0.20739	0.29431	0.00114
HG03953	2	150	0.29310	0.20400	0.20746	0.29421	0.00123
