DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
454	3915800	3336179	2859536	2012697	2265728	2265272	2407813	2393581	3312672	2759589	2004653	2921984	2414429	2373444	2236172	3536083	2924471		11595168
455	4023120	3381380	2897820	2023895	2361870	2339384	2412315	2471388	3345864	2766965	2024228	2921984	2451570	2388883	2252847	3536083	2934581		11635978
456	4055774	3415405	2907525	2040495	2382336	2354877	2412636	2524269	3383486	2797763	2071129	2921984	2473209	2402778	2271048	3536083	2964551		11635978
457	4235484	3426335	3011478	2078128	2429966	2354877	2412636	2575318	3383486	2820125	2107269	2921984	2484702	2409808	2321430	3536083	2985991		11649294
458	4258722	3438774	3084091	2223902	2478946	2354877	2435976	2619435	3383486	2836689	2111521	2921984	2540081	2457512	2357227	3536083	3020521		11672144
459	4320592	3441853	3084971	2241709	2503286	2366436	2469341	2729727	3383486	2881855	2118750	2921984	2569919	2479593	2358799	3536083	3042370		11752697
460	4323219	3441853	3094984	2304163	2585668	2374072	2477685	2734291	3383486	2900538	2170546	2921984	2662944	2506826	2374749	3536083	3052024		11754049
461	4330557	3450268	3112792	2334983	2606725	2379598	2500354	2738476	3383486	2927604	2178043	2921984	2681595	2539708	2375500	3536083	3151891		11965522
462	4337291	3471811	3122383	2343656	2639316	2385142	2516985	2738832	3383486	2958841	2181669	2921984	2683350	2559032	2375500	3536083	3217205		12006668
463	4340645	3501611	3176075	2418792	2647326	2466874	2536152	2811689	3383486	2991273	2193971	2921984	2766938	2614501	2375500	3536083	3217205		12018498
464	4346481	3686589	3176075	2439186	2654374	2533347	2580735	2876564	3383486	3114959	2209478	2979578	2823669	2629534	2389220	3536083	3218329		12107624
465	4381345	3686589	3196102	2447093	2683509	2556030	2599425	2954280	3383486	3114959	2209478	3036412	2855372	2667066	2396750	3536083	3237045		12248163
466	4403496	3686589	3241322	2485115	2705935	2568387	2630141	3017088	3401716	3123092	2217227	3036412	2856184	2673656	2428944	3536083	3261751		12350133
467	4407755	3754991	3241620	2486821	2726085	2595690	2698274	3065513	3438979	3147171	2228097	3036412	2985266	2673656	2437936	3536083	3290363		12381144
468	4407755	3880137	3295364	2508780	2752154	2625187	2698274	3100196	3440102	3150410	2233820	3036412	3049405	2675457	2440355	3584668	3290363		12532199
469	4407755	3883948	3432176	2526705	2789760	2625187	2802558	3101840	3469309	3151134	2235735	3129842	3114139	2696344	2448947	3625285	3290363		12825978
470	4407755	3948989	3450247	2572310	2795826	2663878	2847818	3157412	3478164	3165282	2276932	3220726	3131169	2702759	2499193	3627661	3290363		12923005
471	4407755	4080925	3473672	2638508	2815520	2669164	2879276	3236456	3573412	3198964	2394313	3220726	3168970	2702759	2532098	3634946	3290363		13175537
472	4407755	4121200	3507402	2684270	2834844	2680413	2879276	3236456	3577785	3271533	2405174	3220726	3265655	2702759	2550576	3712367	3300009		13325794
473	4407755	4126835	3531499	2690103	2877742	2705398	2925751	3236456	3579530	3338884	2510751	3280159	3372335	2785724	2559285	3721540	3313826		13383163
474	4407755	4126835	3632870	2716482	2919868	2831988	2934600	3236456	3582818	3338884	2513153	3345441	3458429	2808339	2568155	3724855	3332562		13545041
475	4407755	4126835	3688200	2730526	3028148	2847197	3021260	3236456	3597189	3338884	2599174	3370631	3483364	2815553	2622694	3778496	3373485		13629526
476	4407755	4160615	3807857	2767955	3055261	2909629	3034163	3236456	3624251	3338884	2661111	3393068	3490581	2816139	2666940	3812788	3438494		13816505
477	4407755	4160615	3826546	2788403	3061934	2923977	3181850	3236456	3643585	3338884	2686911	3432565	3527103	2817493	2742925	3986959	3510608		13838083
478	4407755	4280590	3826546	2800431	3075838	2954286	3183305	3236456	3659025	3338884	2741799	3473080	3543813	2824227	2751345	4079205	3596596		14315551
479	4407755	4321044	3837776	2855324	3093248	2978360	3191125	3236456	3714608	3338884	2760517	3490446	3543813	2871091	2804811	4099010	3622011		14420475
480	4407755	4330084	3848596	2939584	3094699	3014879	3194847	3236456	3753686	3338884	2899765	3507438	3543813	2876865	2887443	4177752	3633629		14930587
481	4407755	4354103	3915399	2959637	3145725	3043252	3218434	3236456	3777805	3338884	2906705	3563628	3543813	2945030	2887443	4213042	3646824		15170913
482	4530570	4452198	3927875	3265681	3145725	3086001	3229899	3236456	3976963	3338884	2911246	3631296	3577868	3036983	2901594	4254143	3652111		15200746
483	4577227	4503262	3927875	3271625	3182748	3092653	3303691	3236456	4228344	3338884	2970476	3632701	3653494	3110271	2911021	4303349	3700791		15200746
484	4590499	4577080	3981175	3271625	3225199	3165311	3376742	3236456	4236344	3338884	3052119	3688565	3669461	3181640	3023682	4339585	3720774		15287424
485	4659907	4577080	4001515	3271625	3263906	3167906	3388248	3236456	4273187	3338884	3052119	3802937	3820867	3190696	3040448	4369520	3736910		15531099
486	4690481	4654075	4020006	3271625	3314243	3404610	3391533	3240283	4342877	3338884	3074661	3804002	3835307	3206110	3134229	4401939	3760727		15608869
487	4814921	4717231	4069457	3279636	3349236	3503335	3397406	3307609	4342877	3338884	3074757	3804002	3835307	3224530	3188451	4424553	3766268		15999072
488	4814921	4718875	4182928	3330127	3423843	3567447	3449083	3368625	4342877	3348864	3078455	3804002	3875917	3224530	3274077	4451765	3770958		16053152
489	4814921	4768963	4192425	3331267	3435960	3575868	3450285	3421587	4342877	3362946	3152210	3844594	3990983	3224530	3275554	4520709	3822195		16555915
490	4814921	4772490	4209309	3414511	3458594	3599666	3473363	3608245	4342877	3526558	3189048	3852448	4011138	3266131	3383949	4599035	3822195		17312223
491	4814921	4782255	4251019	3426745	3489235	3599666	3482635	3747278	4359051	3574142	3224812	3855093	4125235	3289990	3388430	4780538	3822195		17628169
492	4814921	4817213	4413391	3449908	3489235	3599666	3600884	3792366	4509401	3618090	3235416	3996603	4235936	3292600	3406179	4843611	3822195		17919190
493	4814921	4925072	4425070	3475632	3489235	3614605	3613725	3922872	4597282	3723732	3286551	4067866	4235936	3455298	3423343	4951774	3822195		18136221
494	4814921	4962840	4434766	3512262	3493775	3645550	3644901	3961274	4742424	3755568	3289384	4149322	4235936	3455298	3438047	5048647	3822195		18285829
495	4814921	4993064	4696982	3512262	3548963	3688085	3659204	3989534	4747872	3819836	3289384	4243261	4235936	3562356	3459987	5070923	3822195		18345502
496	4814921	5020979	4905359	3656669	3557434	3715378	3671998	4073574	4751948	3827444	3289384	4255462	4272956	3562740	3494935	5146278	3822195		
497	4814921	5056830	4935278	3698508	3572812	3735024	3678631	4109566	4751948	3887005	3303788	4268556	4306110	3627892	3499930	5154789	3822195		
498	4814921	5120455	4935278	3724659	3628099	3846481	3678631	4129479	4771506	3888759	3332727	4278938	4341899	3676239	3502349	5164752	3822195		
499	4814921	5198598	5011264	3747404	3705724	3940526	3692457	4135251	4891319	3974675	3336492	4423995	4380373	3706511	3562921	5289173	3822195		
500	4814921	5209464	5021567	3752299	3721535	4022442	3710585	4135777	4891905	4038637	3364266	4443735	4404767	3771239	3569728	5356316	4012274		
501	4814921	5247303	5244060	3754914	3737923	4086463	3764877	4356074	5014827	4158044	3430997	4519988	4435049	3787119	3598852	5432340	4128130		
502	4832466	5327633	5252123	3803229	3752728	4145892	3799578	4456914	5071109	4158044	3518403	4519988	4470997	3808008	3598852	5548128	4146680		
503	4905535	5327633	5252123	3889495	4009311	4169629	3856419	4457677	5132433	4163161	3540045	4519988	4525701	3872530	3598852	5548128	4158350		
504	4981423	5327633	5252123	3895300	4013468	4188621	3894220	4556629	5232322	4191963	3564450	4519988	4530854	3872657	3598852	5548128	4178286		
505	5193400	5329859	5252123	3915880	4038846	4190130	3938766	4613551	5234830	4265172	3580229	4519988	4547963	3872657	3611032	5558906	4298424		
506	5367912	5329859	5380488	3919108	4042869	4245541	3969033	4699228	5234830	4290092	3651391	4638876	4743957	3872657	3632226	5592078	4332362		
507	5419041	5329859	5420218	3987552	4108162	4289505	4054783	4706913	5234830	4302800	3709282	4638876	4816982	3987183	3685383	5609446	4358125		
508	5531094	5394681	5420218	4028142	4124128	4298041	4114166	4797483	5294420	4321273	3766604	4659940	4892037	4011107	3787919	5833746	4399876		
509	5557385	5428627	5420218	4150002	4192567	4298911	4114166	4811887	5383137	4335034	3830272	4659940	4896306	4011107	3803021	5833746	4423775		
510	5557385	5515641	5596568	4150002	4296175	4305245	4197468	4841771	5396076	4346075	3957464	4677092	4919741	4038701	3856283	5833746	4423775		
511	5595214	5691088	5596568	4150002	4390918	4305245	4206271	4992175	5396076	4406774	3958912	4685139	4920141	4070533	3889512	5965728	4481241		
512	5684034	5711431	5596568	4208434	4632321	4305245	4285719	4992212	5402844	4433177	3978874	4693138	4947556	4102842	3889512	6106620	4509418		
513	5713922	5731782	5649206	4208434	4651708	4353345	4296180	5062094	5411421	4491914	3988211	4695681	4985602	4159390	3889512	6546101	4509418		
514	5793369	5755369	5661859	4272945	4692165	4389363	4371986	5119211	5416829	4496526	4004938	4752186	5071883	4189163	3889512	6627327	4509418		
515	5838502	5782199	5686113	4280655	4728597	4389979	4377531	5136836	5442338	4678655	4019148	4804915	5090826	4217816	3889512	6627327	4509418		
516	5884131	5887156	5692715	4289079	4781194	4398776	4377531	5145847	5465405	4694229	4086706	4860875	5197004	4275481	3889512	6662842	4509418		
517	5977858	6111420	5852044	4316973	4898425	4537318	4468228	5153912	5573204	4740339	4094138	4941670	5334686	4420528	3889512	6754427	4568273		
518	5977858	6135591	5887607	4321985	5123253	4598254	4469939	5222707	5651091	4750787	4110006	5044462	5458081	4471733	3889512	6855606	4568273		
519	5977858	6154686	5887607	4461107	5248740	4629758	4469939	5233341	5673264	4892623	4157736	5108017	5464951	4514859	3889512	6855606	4571418		
520	5990978	6193994	5887607	4528056	5380455	4690267	4509410	5300191	5874696	4908157	4193989	5115176	5488287	4586495	3889512	6872965	4581816		
521	6092879	6267415	5892007	4600094	5408684	4708875	4566873	5374715	6238593	4978521	4219772	5283711	5552474	4599522	3944514	6952908	4590524		
