#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA19701	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	51.7040	-12.8365	-0.6480	0.9255	0.3986
HG00690	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.1096	-44.0856	2.1949	6.8966	1.1310
HG00120	EUR	EUR	0.0000	0.0000	0.0012	0.0000	0.9988	0.6937	14.2886	4.0716	9.0076	2.1822
NA12843	EUR	EUR	0.0000	0.0000	0.0022	0.0000	0.9978	1.2395	12.5935	4.1070	9.5730	-0.4083
HG02154	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9155	-44.4770	1.1131	6.5260	-1.5270
NA20778	EUR	EUR	0.0000	0.0000	0.0261	0.0000	0.9739	0.5281	11.9826	4.8198	10.8402	2.6350
HG00881	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7145	-44.6685	0.3449	10.1645	-2.0938
HG03631	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.2583	-2.6368	-16.1533	-0.6983	4.5750
NA18876	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.9685	-17.8510	0.1432	0.7643	3.0886
HG02667	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.6128	-16.6496	0.5844	1.1188	1.6429
HG01142	AMR	AMR	0.0000	0.0074	0.9926	0.0000	0.0000	11.0449	-7.2123	9.3824	-9.5665	1.8687
HG03862	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6857	-6.2192	-18.6126	-5.8868	-0.6264
HG01668	EUR	EUR	0.0000	0.0000	0.0048	0.0000	0.9952	4.3677	11.8783	3.8802	10.3524	0.2670
HG01259	AMR	AMR	0.0105	0.0003	0.7728	0.0034	0.2130	1.6117	5.1845	7.6949	2.6918	0.4152
HG01790	EUR	EUR	0.0000	0.0000	0.0234	0.0000	0.9766	0.8311	11.9810	4.1000	7.6046	5.8753
HG01617	EUR	EUR	0.0000	0.0000	0.0036	0.0000	0.9964	1.7022	10.1655	6.4530	10.3676	-3.5406
HG03100	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	64.3500	-16.9493	-0.7073	1.2559	1.9867
NA19072	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0869	-42.6043	1.2917	5.3998	9.4694
HG00731	EUR	AMR	0.0000	0.0000	0.0553	0.0000	0.9447	1.7992	9.5430	8.0125	4.6967	5.1817
NA21101	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.3224	-7.3059	-18.9488	-3.4419	1.9665
HG03680	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7592	-8.1878	-18.5179	-3.7607	0.9134
HG02151	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3584	-43.7869	1.0828	7.6329	-3.5241
HG01046	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.5447	-45.2192	1.2859	9.2696	-3.7493
NA19204	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.5130	-17.0893	-0.0592	-0.1154	2.0949
HG02089	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-5.4474	-14.4761	17.6290	-24.8724	-1.0722
NA18749	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.2831	-43.8321	1.8488	6.3879	3.8544
HG03720	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0794	-8.7338	-20.4233	-6.8853	5.7350
HG03246	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.0968	-16.6415	-1.2718	0.8936	2.3786
HG02881	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.1782	-18.4523	-0.5449	2.1587	2.2295
HG02127	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1162	-42.9019	-0.8301	6.6373	-4.6101
HG02090	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	3.0402	-14.2203	15.9642	-18.6265	2.3713
HG02721	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.0385	-18.7677	0.0740	0.4001	1.8057
HG03775	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5266	-7.0598	-20.2777	-4.2875	2.4601
HG01444	AMR	AMR	0.0000	0.0000	0.9991	0.0000	0.0009	6.0831	-2.6351	10.5256	-5.5707	1.9183
HG02968	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.9367	-17.6441	1.2217	2.1221	0.3413
NA11931	EUR	EUR	0.0000	0.0000	0.4060	0.0000	0.5940	1.2462	12.1638	4.9726	8.7909	-1.4195
HG03696	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.2105	-7.5758	-20.9210	-5.1624	1.9842
NA20289	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	48.3523	-10.7758	-0.4463	3.5509	4.1042
NA18633	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5836	-45.7739	3.4905	6.1338	3.0616
HG01414	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	9.1024	2.3648	7.3216	1.0328	0.9523
NA19904	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	52.5604	-12.1792	0.5409	1.4860	1.0722
NA18538	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4156	-42.8455	4.5839	7.4375	6.1879
NA20882	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9393	-1.2635	-12.8242	-2.2313	3.0214
HG01917	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-5.7141	-19.3830	22.1231	-32.4561	4.1992
HG02681	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7201	-1.9215	-13.1751	-1.7115	5.2923
HG02697	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	2.1519	-0.9642	-13.9319	-2.8625	3.7215
HG03916	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.3629	-10.4738	-18.5209	-3.9099	0.7249
HG02122	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.6782	-45.5882	-0.8709	7.1586	-0.1860
HG02391	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.2991	-44.6873	1.1439	8.2319	-2.4011
NA18745	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.6968	-44.1914	3.1511	7.0044	6.7951
NA19147	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.4415	-17.3777	-0.3182	0.8426	0.9130
HG01028	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.1845	-45.1804	-0.4349	8.7358	-1.4988
HG02470	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.8622	-14.8379	0.2638	2.4639	2.8157
HG00443	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6144	-45.2709	2.3933	7.4067	2.1705
HG02737	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0705	-1.0536	-11.1864	-2.1948	1.4725
HG01777	EUR	EUR	0.0000	0.0000	0.0687	0.0000	0.9313	-0.1274	12.9319	5.4479	9.9566	2.6774
HG03455	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.4983	-19.4757	0.7006	2.0203	5.0357
HG02425	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-1.2222	-10.3340	15.3257	-19.8272	3.8266
NA18623	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4732	-42.2168	3.4191	6.9564	6.2630
HG03898	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7994	-8.9636	-19.3397	-2.5663	4.5930
HG00478	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6751	-45.8576	3.0971	7.2990	2.1247
HG03354	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7339	-18.4839	-1.4216	1.4268	-0.5090
NA19159	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7716	-17.3837	-0.5675	0.6363	3.3151
HG03817	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.5631	-9.0359	-15.0182	-2.1853	6.7205
NA19011	EAS	EAS	0.9992	0.0000	0.0008	0.0000	0.0000	-6.6210	-42.6888	3.2074	5.8914	7.5436
NA12761	EUR	EUR	0.0000	0.0000	0.0533	0.0000	0.9467	1.8449	12.4475	6.9550	10.2610	1.5581
NA11920	EUR	EUR	0.0000	0.0000	0.0098	0.0000	0.9902	-0.6096	12.1372	4.9163	10.6989	4.7068
NA19086	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0232	-45.0513	1.9229	5.7040	8.6529
NA18548	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4436	-42.8006	2.7755	6.6402	2.7477
HG02003	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-6.3530	-19.5241	21.6296	-32.3488	2.9635
HG01500	EUR	EUR	0.0000	0.0000	0.0998	0.0000	0.9002	3.2745	10.4790	6.7038	10.3677	4.0218
HG02307	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	57.6174	-16.5878	-1.0766	1.2035	1.1845
HG03967	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.5715	-5.3534	-18.8113	-2.8646	2.7632
NA18963	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5151	-43.4740	2.5209	6.8469	6.7726
HG03905	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.3021	-12.6079	-14.2802	-1.7112	0.5026
HG03115	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3209	-18.1486	0.1790	0.3575	1.8650
HG00476	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.8877	-45.3339	2.4747	7.5127	-0.0613
HG01565	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-4.0018	-12.3765	17.4595	-23.0904	0.7417
HG01312	AMR	AMR	0.0000	0.0003	0.9996	0.0000	0.0001	8.2153	5.1278	6.4603	3.8930	3.9856
HG04159	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0298	-11.7821	-16.1884	-3.0096	5.4946
HG01953	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-6.6316	-21.3753	21.8354	-34.6213	-1.2378
HG01861	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5685	-42.5980	-0.1774	5.6009	-0.5112
HG02979	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.4637	-16.8481	0.0368	1.3178	1.8566
NA20885	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5242	-2.5411	-14.6403	-2.6558	5.4610
HG01883	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	53.5352	-13.2004	0.1167	1.5847	4.2958
NA19064	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.4196	-43.5528	3.7469	5.9860	9.6651
HG01465	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-0.1128	5.2320	6.3828	1.2200	1.3901
HG01776	EUR	EUR	0.0000	0.0000	0.0763	0.0000	0.9237	0.5827	10.5906	5.1847	8.7470	3.4059
HG03007	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6933	-11.6085	-18.1053	-3.6318	-1.7256
HG02610	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.6977	-16.9037	-0.2942	1.1691	4.0307
HG03899	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7625	-7.5707	-18.3690	-3.8174	2.5559
NA20766	EUR	EUR	0.0000	0.0000	0.0103	0.0000	0.9897	1.0678	12.5555	2.8889	8.3667	5.4410
NA19172	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.7895	-17.5451	0.0733	3.2399	0.2347
HG01864	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3062	-43.8619	0.8703	8.7973	-4.4303
NA19081	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3846	-41.3719	1.4841	4.6707	9.4709
NA18547	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.8452	-42.3692	2.7935	7.1324	3.6705
NA21100	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1770	-5.6557	-20.0644	-5.8078	2.7176
HG01413	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	8.1825	0.4125	8.1277	-3.6247	2.2537
HG02088	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.6008	-44.8860	0.6796	8.1873	-3.0394
NA18943	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-9.2207	-42.5257	1.8375	6.6592	10.8325
HG03890	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.3472	-8.9126	-17.2806	-4.0668	0.1438
NA19446	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.9740	-16.8932	-0.7128	0.9246	0.4711
HG01923	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-6.6514	-22.7541	24.0190	-35.8681	2.1853
HG00531	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.3448	-44.5654	3.7140	6.9798	2.7567
HG02502	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	52.0793	-12.7203	0.9422	2.9869	3.7082
NA18522	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.5196	-17.0276	0.2854	1.0036	3.0634
HG02870	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.4702	-16.7286	0.3331	1.1415	3.1439
HG00336	EUR	EUR	0.0000	0.0000	0.0034	0.0000	0.9966	-0.5361	9.8689	5.1915	8.4822	5.0084
HG00306	EUR	EUR	0.0000	0.0000	0.0167	0.0000	0.9833	-1.0455	9.2986	6.1060	9.5076	6.6556
NA19116	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7021	-17.2710	-0.7785	2.1376	1.2872
NA11932	EUR	EUR	0.0000	0.0000	0.0882	0.0000	0.9118	0.1603	12.3915	4.2325	9.0037	-0.3310
HG01566	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-2.0911	-6.0370	15.1091	-12.2490	0.3156
HG02323	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	57.7081	-14.9976	0.3664	3.5926	0.1844
HG00365	EUR	EUR	0.0000	0.0000	0.3989	0.0000	0.6010	-0.2389	8.8284	3.4941	9.9901	0.7543
HG03073	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.7375	-18.1582	0.3407	2.1878	2.1931
HG00766	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0067	-44.2433	1.1846	10.1650	-0.7211
HG03746	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3346	-3.9994	-13.4001	-2.1656	0.6365
HG02763	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.5302	-17.9292	0.1994	2.4861	6.0309
HG01498	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	2.0778	-2.3790	10.8746	-8.7105	3.8668
HG03135	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.1127	-17.9586	0.0679	0.4428	0.1894
HG02811	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.4320	-18.0049	-1.9356	2.2411	4.1542
HG02086	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5437	-42.9437	0.7660	7.1855	-1.6459
NA19684	AMR	AMR	0.0050	0.0000	0.9893	0.0007	0.0050	-0.4407	-0.7130	11.2693	-5.8598	4.3975
HG00740	AMR	AMR	0.0000	0.0027	0.9972	0.0000	0.0001	6.0444	2.7631	7.3389	2.6954	2.2183
HG02521	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2324	-44.1731	1.4053	7.3303	1.4151
HG03990	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.8505	-9.4243	-20.1260	-5.2278	1.8268
HG01915	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.9736	-15.1865	0.8377	1.8276	2.9262
HG03668	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.3820	-5.2972	-15.8034	-4.3191	6.8944
NA19920	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	57.0617	-14.4152	-1.2431	2.2594	1.7416
HG01989	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	52.5354	-13.3935	1.1488	4.1186	4.3143
HG00237	EUR	EUR	0.0000	0.0000	0.0011	0.0000	0.9989	1.5267	11.0045	4.1646	9.1429	1.9765
HG01948	AMR	AMR	0.0000	0.0105	0.9895	0.0000	0.0000	5.4863	-21.3413	16.2928	-25.5901	1.4261
HG02513	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4554	-43.8344	0.7040	8.6049	-3.6330
HG00106	EUR	EUR	0.0000	0.0000	0.0243	0.0000	0.9757	-2.0342	11.2236	4.2587	10.4478	3.5478
NA18621	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.7994	-44.4633	4.6794	5.1850	5.4268
HG03437	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.5516	-18.8545	-0.4876	2.5714	3.0083
HG00285	EUR	EUR	0.0000	0.0000	0.0502	0.0000	0.9498	-1.2571	7.9663	3.3751	6.9779	4.6901
HG01606	EUR	EUR	0.0000	0.0000	0.0158	0.0000	0.9842	2.8091	12.1248	5.0286	9.7324	-1.6143
NA18537	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9446	-43.1324	2.1507	6.7615	6.6814
HG00243	EUR	EUR	0.0000	0.0000	0.0118	0.0000	0.9882	-0.2552	13.6102	5.5067	9.1528	5.0846
NA18757	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6662	-45.1288	3.3548	8.4091	1.9484
HG01597	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.2242	-43.8930	0.0221	8.5824	-3.6010
HG01130	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	2.9015	2.0218	9.2825	-1.7380	4.0970
HG00708	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.6623	-45.2955	1.0733	7.8512	2.7619
NA18630	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.4680	-43.9285	2.4063	7.9911	5.0074
HG02017	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.6932	-41.8499	-0.8872	7.1956	0.4429
HG01512	EUR	EUR	0.0000	0.0000	0.0087	0.0000	0.9913	1.4117	14.6515	5.8067	9.4821	0.4083
NA19041	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.4979	-16.9148	-0.6974	0.1682	-2.2487
HG04090	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6570	-8.4065	-19.6330	-5.2271	-1.1132
NA20797	EUR	EUR	0.0000	0.0000	0.0059	0.0000	0.9941	2.0792	13.1871	4.3594	10.0258	1.4874
NA20529	EUR	EUR	0.0000	0.0000	0.0059	0.0000	0.9941	2.0616	12.3666	5.1146	9.1381	1.3202
HG00361	EUR	EUR	0.0001	0.0000	0.4952	0.0005	0.5043	-2.4261	5.2358	4.5563	8.1543	4.1844
HG02072	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0772	-43.4723	1.6486	6.3848	-1.9913
NA19764	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	0.0769	-4.4976	11.8792	-8.4890	3.4302
NA19788	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	-0.0719	-13.5180	15.2413	-21.0590	1.4132
NA19719	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	-0.1241	-4.5728	13.2424	-11.2195	4.2765
HG03955	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1528	-10.2075	-19.9924	-5.3826	1.7278
HG03667	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1769	-9.6683	-21.7589	-3.9094	1.6993
HG02396	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.8787	-46.2456	0.5187	8.6205	-5.2998
HG03452	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.1194	-17.5604	-0.0106	1.3098	3.0339
NA19437	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.2001	-16.8939	-1.1807	1.2599	-0.1854
HG01768	EUR	EUR	0.0000	0.0000	0.0257	0.0000	0.9743	1.3884	13.0351	5.3878	10.0264	0.0652
HG00288	EUR	EUR	0.0000	0.0000	0.1193	0.0000	0.8807	-1.6343	8.0448	4.4700	8.5489	4.1580
HG01384	AMR	AMR	0.0000	0.0059	0.9938	0.0002	0.0000	2.1240	1.1717	10.3454	-1.8148	4.6993
HG03548	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3429	-17.4508	0.2007	0.6572	3.1760
NA11992	EUR	EUR	0.0000	0.0000	0.0149	0.0000	0.9851	-0.3823	12.9900	5.8172	9.2021	1.9309
NA19785	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-1.4765	-13.0657	17.4309	-21.2145	1.7422
NA21135	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.7544	-6.5670	-19.0437	-1.4079	3.9975
HG01811	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9398	-44.2302	1.0739	8.2667	-2.0051
HG01626	EUR	EUR	0.0000	0.0000	0.0184	0.0000	0.9816	1.7273	12.2356	6.4277	9.1818	4.4835
HG01431	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	5.9868	-0.2572	7.8918	-3.7618	4.1170
HG03832	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5040	-12.1999	-17.1693	-2.0980	0.6476
HG03190	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.4590	-17.9974	1.5928	0.7121	1.2170
HG03663	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3873	-9.3020	-19.9320	-2.7979	3.8785
HG00323	EUR	EUR	0.0000	0.0000	0.0086	0.0000	0.9914	-1.1460	9.7523	5.3469	8.9796	3.2905
NA20902	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6552	-6.1110	-19.5610	-6.0438	6.3383
NA19648	EUR	AMR	0.0000	0.0000	0.0540	0.0000	0.9460	1.4819	10.8240	5.1937	5.0265	-0.1776
HG03727	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.5056	-6.8947	-19.2534	-5.6014	0.5873
HG01055	EUR	AMR	0.0000	0.0000	0.1903	0.0000	0.8097	7.9046	4.4897	5.1251	4.0671	3.2148
HG02648	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.1339	0.1681	-10.3151	-2.7218	2.8299
HG02734	SAS	SAS	0.0000	0.0000	0.0000	0.9977	0.0023	2.5087	-1.6743	-11.6141	-3.0872	3.6885
HG02029	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0934	-43.9388	1.6426	8.0314	0.7449
HG02465	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.8629	-15.3162	-0.3495	1.5766	2.4848
HG00179	EUR	EUR	0.0000	0.0000	0.0078	0.0000	0.9922	-0.5877	8.3178	6.2140	10.0731	0.0193
NA18747	EAS	EAS	0.9933	0.0000	0.0067	0.0000	0.0000	-6.7683	-43.7136	4.5710	6.9931	5.0233
NA19114	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3998	-17.9907	-0.5472	1.5129	-0.2502
HG02312	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-4.5929	-10.7585	14.9321	-19.4504	-0.3893
HG00364	EUR	EUR	0.0000	0.0000	0.0109	0.0000	0.9891	-1.8878	8.4562	5.9611	8.3335	7.4485
NA18592	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.1686	-44.3814	2.3347	6.9292	5.5040
HG02060	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7421	-43.2556	1.5581	6.9321	-2.3285
NA20856	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3637	-3.9443	-19.0330	-5.4225	-1.6346
HG01707	EUR	EUR	0.0000	0.0000	0.0062	0.0000	0.9938	2.2282	11.6848	4.3610	9.5324	-0.9099
NA20342	AFR	AFR	0.0000	0.8119	0.1881	0.0000	0.0000	37.4018	-6.0004	3.0854	4.3743	3.4463
HG02239	EUR	EUR	0.0000	0.0000	0.0047	0.0000	0.9953	2.6872	10.5277	4.2867	7.8802	4.9856
HG03024	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.2023	-15.7301	0.1070	0.7768	-0.9902
HG02078	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.4598	-44.8854	-1.4317	6.7393	-3.9832
HG02314	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.8210	-16.6627	-0.8448	2.0640	0.9054
HG03867	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.2230	-10.9618	-21.4074	-5.0926	2.7673
NA20531	EUR	EUR	0.0000	0.0000	0.0096	0.0000	0.9904	1.3288	10.6701	5.0408	8.1674	0.9153
NA18577	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0772	-44.6898	4.3168	6.1535	2.8886
HG02573	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.5172	-16.2612	-0.5408	2.7192	0.8709
HG03388	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	64.0282	-17.8467	0.3803	2.7870	1.1709
HG01085	EUR	AMR	0.0000	0.0000	0.0615	0.0000	0.9385	7.9086	4.4332	6.7471	3.2654	3.3046
NA19676	AMR	AMR	0.0000	0.0000	0.5109	0.0000	0.4890	0.9778	0.0501	8.9800	-6.0297	5.7481
HG03019	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.8360	-7.3300	-16.9276	-4.3598	1.4871
NA19087	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-9.4711	-43.9869	2.9886	5.1956	3.6766
NA18948	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7861	-44.3228	2.6239	5.7956	11.8490
HG02574	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.9730	-15.1185	0.3421	2.8849	-0.8414
HG03225	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.7576	-17.1670	-0.7884	1.1866	1.1122
NA18988	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9443	-43.2218	2.0934	4.8239	7.3484
HG02445	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	51.8033	-12.1977	0.5652	3.1743	4.0639
NA20334	AFR	AFR	0.0000	0.9956	0.0044	0.0000	0.0000	39.9170	-6.8665	1.2416	5.1689	3.9784
NA18923	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3466	-17.4671	-0.4495	3.0431	1.4520
HG03258	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.8063	-17.3369	-1.1254	2.2490	2.4674
