#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG03698	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6920	-7.4262	-19.7535	-4.7302	3.8751
NA19023	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.4926	-17.9248	0.5312	2.1984	-1.4931
HG00309	EUR	EUR	0.0000	0.0000	0.1260	0.0000	0.8740	-0.1780	8.8165	4.1931	7.3723	4.6638
NA18942	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6400	-43.0062	1.6576	6.4576	10.9260
HG02694	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.1173	-0.4747	-11.8722	-2.7080	5.1772
HG03755	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.2635	-8.1931	-18.5877	-4.9020	1.7011
HG01403	AMR	AMR	0.0000	0.0019	0.9980	0.0000	0.0000	9.7647	-1.6334	6.4004	0.0437	0.8377
HG01260	AMR	AMR	0.0000	0.0014	0.9986	0.0000	0.0000	7.2811	-3.4235	10.8132	-4.9870	2.4831
HG02166	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2273	-44.0171	1.2171	9.2782	-3.1641
NA18532	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0853	-44.3155	2.5486	6.6848	7.6647
HG01149	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	2.4509	-5.9512	12.5719	-10.8288	2.5037
NA20512	EUR	EUR	0.0000	0.0000	0.0769	0.0000	0.9231	1.8868	11.7634	4.9118	7.9824	2.3989
NA18947	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.6949	-43.0243	2.2769	6.4072	9.7800
HG01119	AMR	AMR	0.0000	0.0000	0.9907	0.0000	0.0093	0.7824	8.3093	6.4732	1.6606	0.5146
NA19037	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.3147	-15.9218	-0.0487	2.5766	0.8598
HG03998	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.0758	-8.0004	-20.5898	-4.8765	-1.6959
