WTCHG_171117_262	WTCHG_171117_264	
26.235235	27.473473	
26.235235	27.39039	
26.205206	27.454454	
26.13914	27.462463	
26.120121	27.403404	
26.11111	27.366365	
26.105104	27.324324	
26.085085	27.32833	
26.016016	27.267267	
26.083082	27.222221	
26.028028	27.186186	
26.112112	27.2012	
26.1992	27.118118	
26.238237	27.083166	
26.182182	27.097195	
26.173174	27.051102	
26.126125	27.0	
26.142141	26.881645	
26.148148	26.85958	
26.166166	26.815447	
26.179178	26.828314	
26.116116	26.84036	
26.104105	26.848394	
26.087088	26.790955	
26.182182	26.813065	
26.158157	26.900503	
26.09009	26.881407	
26.002003	26.81608	
26.023024	26.796986	
26.027027	26.810051	
26.083082	26.738693	
26.053053	26.703518	
26.084084	26.688442	
26.12112	26.590954	
26.13113	26.579899	
26.163162	26.516582	
26.159159	26.507538	
26.143143	26.419096	
26.172173	26.36583	
26.196196	26.297487	
26.212212	26.24422	
26.161161	26.249496	
26.171171	26.290745	
26.159159	26.265594	
26.116116	26.250755	
26.084084	26.244713	
26.036036	26.250755	
25.986986	26.23162	
25.96997	26.158106	
25.923923	26.185297	
25.877878	26.23565	
25.785786	26.25277	
25.755756	26.150051	
25.71872	26.206446	
25.685686	26.204432	
25.64064	26.205439	
25.639639	26.180262	
25.642643	26.141994	
25.614614	26.182276	
25.605606	26.163141	
25.567568	26.138973	
25.615616	26.128902	
25.5996	26.077543	
25.4995	26.099697	
25.48849	26.099697	
25.486486	26.103725	
25.457457	26.077543	
25.433434	25.973816	
25.468468	25.956697	
25.552553	25.949648	
25.559559	25.880161	
25.615616	25.731855	
25.635635	25.654234	
25.57958	25.60484	
25.510511	25.53784	
25.437437	25.466196	
25.364365	25.396568	
25.353354	25.352169	
25.286285	25.332996	
25.229229	25.277498	
25.198198	25.0777	
25.136137	25.001009	
25.108109	24.9778	
25.096096	25.01009	
25.078077	25.035318	
25.052052	25.007063	
24.964966	25.006054	
24.92993	24.9778	
24.8989	24.967709	
24.777779	24.932392	
24.725725	24.872856	
24.596596	24.846619	
24.616617	24.865656	
24.65065	24.860605	
24.586586	24.785858	
24.62926	24.843277	
24.722445	24.852377	
24.738478	24.815975	
24.728456	24.769464	
24.76052	24.71082	
24.707415	24.709808	
24.785572	24.661274	
24.749498	24.664307	
24.742485	24.652174	
24.717434	24.785643	
24.689379	24.687563	
24.632265	24.68352	
24.611223	24.672396	
24.628256	24.634985	
24.572144	24.55915	
24.65531	24.510616	
24.622244	24.524773	
24.566132	24.512638	
24.59519	24.489384	
24.582165	24.453995	
24.639278	24.452982	
24.663326	24.419617	
24.663992	24.38625	
24.676027	24.331648	
24.635908	24.314459	
24.612839	24.311426	
24.683048	24.273003	
24.725176	24.26188	
24.717152	24.383215	
24.637915	24.360971	
24.59679	24.33367	
24.614845	24.366026	
24.604815	24.366026	
24.551655	24.339737	
24.558676	24.410515	
24.530592	24.403439	
24.494484	24.360971	
24.472418	24.32558	
24.447342	24.314459	
24.388165	24.220425	
24.354063	24.244692	
24.374123	24.227503	
24.422266	24.222446	
24.363089	24.219414	
24.33032	24.159758	
24.251003	24.148636	
24.242971	24.155712	
24.227911	24.149647	
24.221888	24.13448	
24.196787	24.063702	
24.135542	24.023256	
24.114458	24.058645	
24.079317	24.032356	
24.039156	24.030334	
24.08534	24.026289	
24.045181	24.167847	
24.006031	24.114256	
24.021105	24.11628	
24.031157	24.130568	
24.039196	24.095142	
24.00503	24.110323	
24.031187	24.024292	
23.99497	24.020243	
23.988934	23.963562	
23.969818	23.986841	
23.942656	23.949392	
23.924547	23.918016	
23.938631	23.936235	
23.958752	24.092106	
23.928572	24.115385	
23.90141	24.09919	
23.967808	24.104252	
24.05332	24.24595	
24.018108	24.343117	
23.961771	24.348179	
24.027163	24.411943	
24.023138	24.41093	
24.02817	24.467611	
24.016096	24.56174	
24.06841	24.563765	
24.061369	24.577936	
24.062374	24.605263	
24.037224	24.635628	
24.100603	24.617409	
24.096579	24.638664	
24.04527	24.631578	
24.084507	24.59008	
24.096579	24.560728	
24.087524	24.573887	
24.087524	24.634615	
24.063381	24.586033	
24.001005	24.586033	
24.026157	24.540485	
24.039236	24.530365	
24.072435	24.496964	
24.129778	24.493927	
24.144869	24.42915	
24.200403	24.362349	
24.212488	24.288462	
24.229607	24.275303	
24.211481	24.178137	
24.166162	24.126518	
24.168177	24.077936	
24.19134	24.135628	
24.159113	24.07591	
24.151058	24.021255	
24.090635	24.045547	
24.104733	24.016193	
24.067472	24.031376	
24.053373	23.928137	
24.066465	23.97672	
24.06848	23.955465	
24.099697	23.92915	
24.09265	23.940283	
24.114803	23.31174	
24.011078	23.352226	
23.944557	23.190283	
23.898186	23.180162	
23.862764	23.16498	
23.884964	23.120445	
23.871847	23.13664	
23.903128	23.10324	
23.911201	23.133604	
23.921291	23.181173	
23.902119	23.1417	
23.993946	23.084007	
23.980827	23.030365	
24.0111	22.991903	
23.976791	22.98077	
24.039354	22.871458	
24.107971	22.83907	
24.037336	22.82591	
24.04339	22.822874	
24.008072	22.76417	
23.91221	22.727734	
23.962664	22.798582	
23.958586	22.798582	
23.983822	22.707193	
23.985844	22.74772	
24.012133	22.745693	
24.002022	22.726444	
24.131447	22.714285	
24.138523	22.704153	
24.197168	22.679838	
24.209303	22.587639	
24.210314	22.60689	
24.213346	22.605877	
24.158747	22.59068	
24.211325	22.56839	
24.235592	22.518744	
24.244692	22.52077	
24.24089	22.504559	
24.25532	22.430597	
24.25532	22.436676	
24.201622	22.431034	
24.224924	22.421907	
24.231003	22.446247	
24.251266	22.41785	
24.305977	22.42495	
24.270517	22.40365	
24.259373	22.404665	
24.20466	22.445232	
24.14691	22.388437	
24.123608	22.412779	
24.136778	22.432049	
24.171227	22.528399	
24.195541	22.474646	
24.110435	22.44929	
24.078014	22.466532	
24.10841	22.43002	
24.089159	22.464502	
24.095238	22.477688	
24.05471	22.5071	
24.029383	22.434076	
23.993921	22.411764	
23.994934	22.288033	
24.004053	22.220081	
23.986828	22.180527	
24.010132	22.11359	
24.045593	22.102434	
24.032421	22.111563	
24.009119	22.064909	
23.956434	22.078093	
23.931105	22.100405	
23.889565	22.053753	
23.929077	22.030426	
23.82776	22.077158	
23.85613	22.148224	
23.845999	22.053806	
23.793314	21.977665	
23.829786	21.943089	
23.851065	21.914635	
23.819656	21.882114	
23.821682	21.848577	
23.793314	21.861788	
23.71226	21.908537	
23.740627	21.897358	
23.690983	21.903456	
23.636272	21.909554	
23.657549	21.929878	
23.643364	21.908537	
23.625126	21.865854	
23.601824	21.857723	
23.647417	21.822155	
23.621075	21.814024	
23.640324	21.780487	
23.6643	21.754065	
23.62069	21.731707	
23.598377	21.704268	
23.560852	21.691057	
23.51724	21.686993	
23.488844	21.639227	
23.469574	21.720528	
23.439148	21.704268	
23.433502	21.743643	
23.512196	21.68769	
23.544716	21.717192	
23.552845	21.69176	
23.631098	21.696846	
23.577236	21.71414	
23.645325	21.631739	
23.651423	21.624619	
23.674797	21.592066	
23.693089	21.577824	
23.70122	21.570702	
23.627033	21.712107	
23.659554	21.739573	
23.588415	21.758902	
23.594513	21.75585	
23.589432	21.758902	
23.553862	21.782078	
23.587399	21.745417	
23.611788	21.716904	
23.584349	21.72505	
23.578253	21.700611	
23.591463	21.669043	
23.553862	21.70948	
23.546747	21.719673	
23.571138	21.67686	
23.595528	21.674822	
23.626017	21.674822	
23.568089	21.602446	
23.530487	21.570847	
23.496952	21.559633	
23.47256	21.618757	
23.445576	21.587156	
23.478128	21.56473	
23.387589	21.510704	
23.336725	21.41998	
23.336725	21.36901	
23.360123	21.362894	
23.403866	21.326199	
23.433367	21.32314	
23.400814	21.320082	
23.42116	21.37105	
23.446592	21.379206	
23.417091	21.393476	
23.346897	21.355759	
23.367243	21.328236	
23.396744	21.331295	
23.399797	21.289501	
23.419125	21.273191	
23.457783	21.29052	
23.467955	21.295616	
23.44354	21.239552	
23.471487	21.151886	
23.404278	21.197758	
23.415478	21.220184	
23.406313	21.171253	
23.357433	21.175331	
23.303463	21.181818	
23.272913	21.194077	
23.233198	21.11338	
23.220978	21.111338	
23.231161	21.0429	
23.230143	21.051073	
23.170061	21.062372	
23.17617	21.104294	
23.138493	21.100204	
23.142567	21.129856	
23.098778	21.116564	
23.098778	21.150307	
23.014257	21.10225	
23.015274	21.04499	
23.049898	20.958078	
23.031569	21.00409	
22.995926	21.060328	
22.970469	21.08086	
22.990835	21.112589	
22.991854	21.029682	
23.003056	20.916069	
23.004074	20.877174	
23.106924	20.908905	
23.069246	20.883316	
23.065172	20.83214	
23.069246	20.809622	
23.019348	20.766632	
23.001019	20.801434	
22.943993	20.764585	
22.897148	20.746925	
22.85947	20.82787	
22.761711	20.760246	
22.789206	20.82359	
22.771662	20.835897	
22.784914	20.882051	
22.794088	20.836924	
22.785933	20.835897	
22.771662	20.779488	
22.506123	20.688206	
22.42653	20.657436	
22.457144	20.551794	
22.50102	20.693731	
22.55306	20.65262	
22.616327	20.590956	
22.639795	20.507708	
22.62143	20.475847	
22.62245	20.48818	
22.568367	20.450153	
22.526531	20.436794	
22.482653	20.406988	
22.468367	20.457348	
22.485714	20.409044	
22.440817	20.4111	
22.356123	20.416239	
22.300306	20.399794	
22.276814	20.421377	
22.152197	20.337101	
22.28907	20.366907	
22.232891	20.359713	
22.136875	20.364851	
22.089888	20.330935	
22.115541	20.298353	
22.101227	20.338478	
22.124744	20.307613	
22.1227	20.315844	
22.056236	20.324074	
22.04499	20.265432	
22.10133	20.308641	
22.03173	20.313786	
22.082993	20.289095	
22.009222	20.313786	
22.022541	20.354939	
22.012295	20.26749	
22.075819	20.245108	
22.032787	20.23172	
22.036884	20.189495	
22.04923	20.131958	
22.077002	20.131958	
22.140657	20.167183	
22.080082	20.203302	
22.039015	20.206398	
21.971252	20.245613	
21.929157	20.190918	
21.975359	20.204334	
21.954826	20.178535	
21.858316	20.114552	
21.883984	19.949432	
21.919918	19.879257	
21.936344	19.915377	
21.918892	19.933952	
21.924025	19.927761	
21.956835	19.885448	
21.905447	19.961777	
21.894142	19.978283	
21.909557	19.928646	
21.946556	19.926577	
21.944502	19.880041	
21.884892	19.849018	
21.915724	19.871769	
21.909557	19.843847	
21.91367	19.847984	
21.924896	19.7818	
21.924896	19.72906	
21.932098	19.683558	
21.969135	19.741468	
21.945473	19.724922	
21.925926	19.6853	
21.917696	19.643892	
21.873457	19.642857	
21.795267	19.651138	
21.805555	19.646997	
21.824074	19.580746	
21.772635	19.548655	
21.705761	19.536232	
21.70679	19.52588	
21.615227	19.464804	
21.654322	19.425467	
21.685184	19.443064	
21.677984	19.366459	
21.668724	19.355072	
21.659466	19.351967	
21.604939	19.360249	
21.48251	19.250517	
21.418724	19.195652	
21.38889	19.188406	
21.356997	19.180124	
21.316872	19.233955	
21.289095	19.182194	
21.337448	19.206003	
21.18107	19.16356	
21.14933	19.138716	
21.15345	19.143892	
21.064882	19.116978	
21.013388	19.038301	
21.058702	19.013458	
21.011328	19.008282	
21.052578	19.074533	
21.18866	19.018652	
21.193815	19.015545	
21.230928	19.01658	
21.153608	18.98031	
21.131958	18.974092	
21.130928	18.994818	
