## htsjdk.samtools.metrics.StringHeader		
# MeanQualityByCycle --CHART_OUTPUT Sample1_uncollapsed_FM_mean_quality_by_cycle.pdf --INPUT /var/lib/cwl/stg9a6368fe-9709-4de4-a257-3f1d3ccbc31e/Sample1_uncollapsed_FM.bam --OUTPUT C-4A5HWK-N019-d13_uncollapsed_FM_mean_quality_by_cycle.txt --TMP_DIR /tmp --REFERENCE_SEQUENCE /var/lib/cwl/stg4b7ba519-8180-4fbd-85e9-ef0a6f5fb948/hg19_virus.fasta --ALIGNED_READS_ONLY false --PF_READS_ONLY false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false		
## htsjdk.samtools.metrics.StringHeader		
# Started on: Sun Nov 10 00:44:46 GMT 2024		
		
		
## HISTOGRAM	java.lang.Integer	
CYCLE	MEAN_QUALITY	MEAN_ORIGINAL_QUALITY
198	35.55048	36.651047
199	35.475133	36.651047
200	35.508249	36.651047
201	35.479797	36.651047
202	35.445445	36.651047
203	35.445924	36.651047
204	35.399891	36.651047
205	35.388098	36.651047
206	35.319819	36.651047
207	35.296091	36.651047
208	35.33787	36.651047
209	35.314729	36.651047
210	35.214351	36.651047
211	35.260084	36.651047
212	35.213039	36.651047
213	35.183074	36.651047
214	35.193129	36.651047
215	35.142394	36.651047
216	35.106338	36.651047
217	35.099493	36.651047
218	35.064503	36.651047
219	35.020797	36.651047
220	35.034635	36.651047
221	34.999803	36.651047
222	34.962346	36.651047
223	34.918327	36.651047
224	34.865067	36.651047
225	34.768748	36.651047
226	34.786604	36.651047
227	34.833518	36.651047
228	34.812602	36.651047
229	34.726072	36.651047
230	34.695517	36.651047
231	34.71739	36.651047
232	34.642515	36.651047
233	34.629263	36.651047
234	34.628831	36.651047
235	34.632493	36.651047
236	34.49143	36.651047
237	34.501821	36.651047
238	34.454435	36.651047
239	34.426813	36.651047
240	34.348026	36.651047
241	34.395774	36.651047
242	34.381883	36.651047
243	34.272648	36.651047
244	34.200796	36.651047
245	34.170454	36.651047
246	34.184795	36.651047
247	34.239655	36.651047
248	34.220772	36.651047
249	34.275009	36.651047
250	34.14496	36.651047
251	34.14239	36.651047
252	34.031509	36.651047
253	34.012475	36.651047
254	34.001165	36.651047
255	34.003501	36.651047
256	33.859028	36.651047
257	33.956278	36.651047
258	33.838901	36.651047
259	33.835514	36.651047
260	33.818525	36.651047
261	33.798386	36.651047
262	33.800987	36.651047
263	33.72324	36.651047
264	33.660704	36.651047
265	33.683797	36.651047
266	33.602242	36.651047
267	33.619419	36.651047
268	33.536158	36.651047
269	33.579561	36.651047
270	33.529184	36.651047
271	33.47673	36.651047
272	33.413648	36.651047
273	33.487885	36.651047
274	33.431751	36.651047
275	33.413898	36.651047
276	33.35136	36.651047
277	33.354559	36.651047
278	33.247921	36.651047
279	33.251936	36.651047
280	33.254164	36.651047
281	33.211662	36.651047
282	33.126365	36.651047
283	33.119177	36.651047
284	33.048795	36.651047
285	32.951569	36.651047
286	32.810336	36.651047
287	32.764276	36.651047
288	32.678518	36.651047
289	32.77736	36.651047
290	32.773341	36.651047
291	32.736014	36.651047
292	31.774942	36.651047
