CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
40.152916	41.48741	43.289898	45.15578	48.698284	44.586452	
40.31992	41.622356	43.326263	45.085426	48.67911	44.36198	
40.422535	41.39275	43.255554	45.1206	48.656914	44.229527	
40.423542	41.46022	43.260605	45.159798	48.51414	44.25177	
40.453724	41.36556	43.3202	45.296482	48.478786	44.22548	
40.49195	41.25579	43.365658	45.26633	48.464645	44.405872	
40.503017	41.233635	43.381817	45.20603	48.19596	44.539474	
40.454727	41.29708	43.38586	45.131657	48.19293	44.544533	
40.405434	41.29003	43.357937	44.983902	48.227272	44.44332	
40.4165	41.17422	43.401417	44.848087	48.22222	44.47672	
40.374245	41.082577	43.26997	44.704224	48.23131	44.554203	
40.408863	41.220768	43.28817	44.590725	48.3202	44.64843	
40.414906	41.263103	43.23559	44.541332	48.435352	44.52381	
40.303123	41.280243	43.295246	44.541332	48.40404	44.762917	
40.36455	41.197582	43.48988	44.68246	48.47677	44.973656	
40.32729	41.19657	43.463562	44.579636	48.600605	44.979717	
40.352467	41.23488	43.479755	44.663307	48.60263	45.04057	
40.347782	41.27346	43.51822	44.708668	48.605663	45.064976	
40.335686	41.12412	43.55015	44.74773	48.590496	45.04065	
40.154232	41.22099	43.635258	44.97881	48.548027	45.002033	
40.117943	41.190716	43.516716	45.014126	48.465115	44.94817	
40.024193	41.2553	43.4154	45.072655	48.25379	44.94004	
40.04738	41.16246	43.314083	45.10999	48.265926	44.853657	
40.017155	41.19495	43.340427	45.149345	48.28846	45.064026	
39.951515	41.152527	43.31003	45.140263	48.284412	45.010174	
39.9303	41.062626	43.342453	45.27346	48.199394	44.92167	
39.933266	41.32323	43.359676	45.378407	48.068825	44.911495	
39.9545	41.321213	43.177303	45.405052	48.093117	44.777214	
39.949444	41.25	43.401215	45.583416	48.177303	44.79124	
40.033367	41.275303	43.38298	45.567238	48.175278	44.872578	
40.0546	41.24089	43.462006	45.437817	48.02533	44.669724	
40.17105	41.18826	43.381966	45.458504	48.059776	44.67788	
40.154858	41.182186	43.279636	45.393726	47.91388	44.607544	
40.167004	41.143726	43.26572	45.407894	47.953396	44.60958	
40.34919	41.194332	43.254562	45.432186	47.907803	44.72579	
40.35866	41.313766	43.324875	45.563766	48.123608	44.699287	
40.281662	41.334007	43.33401	45.52834	48.245186	44.63099	
40.16312	41.22672	43.479675	45.26012	48.22921	44.684692	
40.1925	41.130566	43.827236	45.2581	48.168358	44.640816	
40.114487	41.1002	43.830284	45.218624	48.43712	44.637756	
39.94529	41.38158	43.836384	45.229755	48.559837	44.62551	
39.938133	41.266193	43.821136	45.16717	48.665314	44.62143	
39.96552	41.254047	43.745934	45.22515	48.57302	44.59755	
39.929005	41.20749	44.048832	45.290062	48.656853	44.65097	
39.988842	41.111336	44.02238	45.293102	48.6467	44.666325	
39.991886	41.115383	43.97355	45.266735	48.72792	44.623337	
40.068966	41.103237	43.956257	45.251522	48.737057	44.585464	
40.003048	41.057693	44.069176	45.34787	48.599594	44.513817	
40.073246	41.00709	44.01119	45.403046	48.672764	44.548157	
40.07426	41.074036	44.021362	45.54822	48.629066	44.63217	
40.105797	40.950306	43.984726	45.588833	48.695827	44.586067	
40.22889	40.896553	43.8666	45.711674	48.67345	44.46004	
40.16887	41.110546	43.85947	45.771572	49.01731	44.332993	
40.21058	41.08925	44.00611	45.924873	48.95112	44.484104	
40.118008	41.04057	44.057083	45.90254	49.00611	44.590347	
40.082485	40.976673	43.892967	45.73198	48.931633	44.429157	
40.063137	40.938133	43.895004	45.71878	49.0051	44.37577	
40.013252	40.88134	43.782875	45.590862	49.008163	44.351128	
40.030582	40.8144	43.633026	45.68934	48.907143	44.424026	
39.95209	40.935093	43.538227	45.60609	48.841835	44.52567	
39.846077	40.962475	43.64658	45.55939	48.84898	44.70915	
39.904083	40.9929	43.638405	45.585785	48.838776	44.623844	
40.033672	40.93604	43.611847	45.245686	48.837753	44.46146	
40.093876	40.922844	43.69663	44.895325	48.461697	44.632065	
40.14796	41.07817	43.81818	44.86992	48.617977	44.536007	
40.16139	41.118782	43.949898	44.89939	48.58938	44.425926	
40.211872	41.07817	43.89673	44.952236	48.594482	44.458847	
39.983624	41.014214	43.812885	44.922764	48.557713	44.32716	
40.08393	40.990852	43.64315	44.96643	48.55465	44.334362	
40.067623	40.94512	43.625767	45.039673	48.59816	44.414608	
40.076843	40.9471	43.708588	45.01119	48.620655	44.312756	
40.026638	40.90835	43.767895	45.07943	48.647903	44.26749	
39.895493	41.005096	43.73006	45.092667	48.489254	44.167694	
39.86885	41.066257	43.71341	45.171078	48.483112	44.186214	
39.879097	41.027523	43.75435	45.27291	48.411465	44.31514	
39.829918	41.0632	43.839138	45.293278	48.449795	44.33299	
39.72513	41.13061	43.817623	45.327904	48.356556	44.26701	
39.72205	41.07449	43.803078	45.27625	48.264343	44.258762	
39.721027	40.98672	43.62564	45.061226	48.301537	44.136223	
39.587692	41.046986	43.537437	45.041878	48.252308	44.120743	
39.435898	41.039837	43.51077	45.017384	48.32854	44.16099	
39.404102	41.038857	43.459957	45.061474	48.39609	44.063015	
39.497437	41.001022	43.52464	44.85041	48.281155	44.142563	
39.377438	41.010223	43.52929	44.65369	48.279095	44.061985	
39.29231	41.139202	43.577595	44.65574	48.339855	44.09514	
39.295383	41.106556	43.446045	44.709015	48.353245	43.993793	
39.298767	41.03074	43.27441	44.679302	48.327496	44.12733	
39.512848	41.11168	43.335735	44.799793	48.661854	44.082817	
39.68177	41.002052	43.262615	44.80801	48.631958	44.28912	
39.761856	40.940514	43.33299	44.80801	48.604122	44.189835	
39.758762	40.961975	43.220848	44.822865	48.523712	44.312176	
39.723713	40.970196	43.21259	44.83419	48.412373	44.30593	
39.74742	40.975307	43.22394	44.69516	48.307217	44.395832	
39.673195	40.977295	43.224976	44.4655	48.005154	44.56875	
39.57585	41.01241	43.281734	44.491737	47.94427	44.592476	
39.418987	40.98035	43.206398	44.732918	47.790504	44.257053	
39.286892	40.845917	42.99381	44.67909	47.66632	44.19665	
39.244053	40.83661	43.133125	44.709843	47.730373	44.08473	
39.26114	40.790073	43.14964	44.71917	47.695248	44.205235	
39.25078	40.66391	43.106403	44.56684	47.451912	44.158115	
39.230053	40.825726	43.148914	44.434196	47.568913	44.16579	
39.20622	40.852695	43.107548	44.43347	47.548187	44.159832	
39.242992	41.02495	43.18323	43.98021	47.43257	44.04842	
39.29491	41.08524	43.112835	44.186848	47.462097	43.991577	
39.30873	41.006237	43.11399	44.02923	47.448597	44.00947	
38.87734	40.559834	42.9171	44.09927	47.415367	43.396843	
38.75572	40.470345	42.81658	43.943516	47.478714	43.331577	
38.590435	40.411457	42.727177	43.761505	47.39668	43.257896	
38.635796	40.430656	42.612034	43.762302	47.423077	43.345993	
38.652084	40.44259	42.407677	43.62932	47.450573	43.4346	
38.61418	40.49425	42.396267	43.571728	47.39896	43.349155	
38.672577	40.426777	42.306335	43.82618	47.38646	43.412884	
38.68443	40.338913	42.47975	43.87644	47.33229	43.395348	
38.79707	40.406902	42.286606	43.96649	47.508335	43.40592	
38.80021	40.303665	42.1838	44.172775	47.647915	43.47034	
38.83665	40.263874	42.30905	44.140316	47.751823	43.305084	
38.804188	40.183247	42.384132	44.145702	47.91971	43.20339	
38.747643	40.353928	42.05741	44.048218	47.80292	43.03602	
38.651993	40.271206	42.018787	43.944386	47.861023	43.163307	
38.613445	40.310596	41.93096	43.87185	47.9477	43.19406	
38.57143	40.342438	41.830544	43.886436	47.858788	43.17073	
38.631966	40.3813	41.8733	43.8265	48.115547	43.11571	
38.56782	40.311974	41.94136	43.722107	48.25447	43.00637	
38.468422	40.240547	41.700523	43.7471	48.353313	42.99787	
38.491043	40.172268	41.754974	43.97574	48.389885	43.051174	
38.51001	40.30567	41.677486	43.84583	48.45627	43.048027	
38.52059	40.380253	41.627224	43.84672	48.62908	43.024624	
38.41605	40.437435	41.600628	43.705074	48.54373	42.96463	
38.56131	40.4837	41.598534	43.712475	48.520042	43.068596	
38.52431	40.512093	41.472748	43.67759	48.439873	43.111588	
38.530655	40.46154	41.548218	43.683933	48.296413	43.084763	
38.475132	40.418335	41.548794	43.614166	48.275608	43.131973	
38.386242	40.406742	41.444912	43.54757	48.254486	43.1191	
38.349205	40.458862	41.42437	43.475132	48.33827	43.12661	
38.138626	40.482067	41.292324	43.351322	48.405293	43.178112	
38.225636	40.531647	41.17245	43.31746	48.409523	43.05472	
38.15058	40.60401	41.270813	43.34074	48.337925	43.14071	
38.156944	40.48783	41.175106	43.26032	48.159958	43.201935	
38.234608	40.455025	40.68499	43.316402	48.16543	43.137634	
38.25186	40.573544	40.4926	43.303703	48.02121	43.053764	
38.2484	40.608696	40.404232	43.586426	48.04149	43.259697	
38.141792	40.63839	40.333687	43.416138	47.841488	43.23517	
38.14712	40.726116	40.385593	43.513283	47.904152	43.325783	
38.121666	40.670563	40.540913	43.517536	47.842216	43.4329	
38.011765	40.7721	40.435707	43.498405	47.768658	43.44156	
37.897217	40.833866	40.455803	43.51757	47.708954	43.567245	
37.66881	40.7689	40.273987	43.41471	47.70406	43.5141	
37.618435	40.760384	40.133404	43.333687	47.567307	43.53746	
37.664524	40.855164	40.125935	43.27428	47.488247	43.465797	
37.65558	40.988285	40.106724	43.17823	47.4877	43.43261	
37.694206	41.11407	40.1238	43.285255	47.548767	43.459194	
37.730396	41.168983	40.102566	43.282352	47.6706	43.59195	
37.669537	41.178993	39.957172	43.37045	47.6043	43.668484	
37.863	41.32618	39.986065	43.29077	47.52473	43.577972	
37.964363	41.75644	40.14791	43.162018	47.645855	43.610264	
37.9773	41.744637	40.08691	43.21781	47.584232	43.597813	
37.872154	41.688843	40.031116	43.18582	47.537296	43.54595	
37.921993	41.715664	39.957035	43.2739	47.624866	43.593	
37.886242	41.69635	39.99785	43.24275	47.661255	43.5816	
37.792843	41.615467	40.049515	43.16756	47.716145	43.435925	
37.779827	41.63871	40.0183	43.168102	47.729935	43.460438	
37.625813	41.689247	39.975243	42.966595	47.46746	43.40594	
37.649673	41.625805	39.94504	43.03879	47.697067	43.344334	
37.585682	41.67527	39.938576	42.975216	47.695984	43.390537	
