CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
1907.7875	1988.5272	2116.004	2049.6035	2254.343	2188.4622	
1906.2981	1986.324	2114.136	2047.3522	2252.3923	2186.584	
1907.5197	1987.9849	2115.7612	2048.4023	2254.2234	2188.5317	
1910.8137	1990.9276	2120.7664	2052.0684	2258.7686	2192.545	
1910.9304	1990.4813	2119.1047	2050.719	2259.5237	2194.502	
1912.5131	1992.004	2121.4526	2052.6304	2261.0835	2196.3892	
1913.3326	1993.3293	2121.5654	2052.565	2261.0796	2197.356	
1904.5897	1983.9396	2112.2297	2042.9567	2250.7341	2187.1453	
1902.8165	1982.2034	2111.0383	2040.9094	2248.292	2185.1562	
1904.9708	1985.2356	2113.1997	2043.4109	2251.2256	2187.6753	
1904.2107	1984.6012	2112.614	2042.712	2250.6707	2187.0283	
1906.3411	1986.8054	2115.8052	2044.7379	2252.876	2189.202	
1902.7285	1982.63	2110.8506	2039.6361	2248.259	2184.1926	
1899.1201	1978.6865	2107.7388	2035.8499	2244.4365	2180.1765	
1897.8264	1977.2671	2105.1372	2034.1099	2242.9194	2179.2876	
1901.0908	1980.6392	2107.324	2036.4174	2247.1533	2184.007	
1912.7538	1992.9193	2121.8325	2049.636	2262.277	2197.7224	
1912.2523	1992.2197	2121.1997	2048.9143	2261.76	2197.0808	
1907.3976	1986.7349	2115.779	2043.4083	2255.0806	2190.79	
1903.1615	1982.9344	2111.0483	2038.6432	2249.878	2186.324	
1905.8093	1985.504	2113.0737	2041.1562	2252.6794	2188.9072	
1906.098	1985.9213	2112.604	2040.9718	2252.7346	2188.9495	
1901.2333	1981.5217	2106.7646	2034.9293	2246.3823	2183.5464	
1900.3475	1980.3713	2104.8333	2033.4269	2244.9565	2182.3918	
1895.7424	1975.4531	2099.0303	2028.0656	2239.0454	2176.804	
1884.5546	1964.0565	2084.9717	2014.5055	2225.6992	2163.5283	
1884.6364	1964.4066	2085.0686	2014.778	2225.9414	2163.318	
1884.1172	1963.3491	2083.9272	2013.2997	2224.6196	2161.6536	
1887.101	1966.5833	2084.7131	2016.1372	2227.5398	2164.696	
1892.0597	1972.492	2090.1619	2021.508	2234.4424	2170.0203	
1889.4965	1969.1545	2088.9949	2018.8505	2230.887	2167.2336	
1893.6906	1973.0343	2092.734	2023.108	2235.9424	2171.5854	
1893.1538	1972.1204	2091.547	2021.6613	2234.9202	2170.6287	
1895.2854	1973.6128	2093.9128	2023.2012	2236.638	2172.7185	
1899.7264	1977.2035	2098.943	2027.416	2241.2722	2177.4558	
1896.9048	1974.6104	2095.202	2023.8573	2238.5415	2173.0566	
1899.3164	1977.4802	2098.2375	2026.1671	2241.0618	2175.14	
1897.8762	1976.2057	2097.5107	2024.9149	2239.7266	2173.5872	
1892.1309	1970.0891	2089.9836	2017.7386	2232.165	2166.5244	
1892.3691	1970.5461	2090.533	2017.775	2233.526	2167.4868	
1889.1879	1966.4381	2086.3435	2014.3854	2229.8083	2164.413	
1884.4944	1962.0273	2081.5315	2009.709	2224.646	2159.2356	
1881.5249	1958.8854	2077.9573	2006.7931	2221.7302	2155.8457	
1881.5706	1959.3185	2078.0254	2007.2333	2222.6096	2156.6182	
1880.2964	1958.3489	2075.5427	2005.5344	2221.8743	2156.2874	
1878.0853	1956.9442	2072.3354	2003.3204	2219.785	2153.9502	
1880.8649	1959.5198	2074.8992	2006.3949	2222.7808	2156.9897	
1884.9308	1963.5895	2080.0093	2010.3303	2227.4097	2161.1047	
1883.4526	1962.5752	2078.5112	2008.3872	2225.7034	2159.8403	
1882.7742	1961.934	2078.114	2008.4136	2225.5132	2159.9236	
1878.8331	1957.0397	2073.9246	2004.309	2220.8608	2154.9553	
1882.7498	1960.8425	2078.2974	2008.5519	2225.3342	2159.348	
1884.0092	1961.6027	2079.0388	2009.3832	2226.9868	2159.9858	
1881.8464	1958.8384	2077.0671	2007.0336	2224.1067	2157.4822	
1878.3	1955.1351	2071.5845	2003.5712	2219.7542	2153.8484	
1869.4364	1945.2023	2060.4644	1992.5305	2208.5408	2144.7273	
1869.5546	1944.997	2059.8582	1992.2994	2208.7627	2144.7808	
1863.735	1938.7933	2053.1572	1985.7057	2202.0928	2138.4456	
1860.5127	1937.3595	2051.7896	1984.3934	2200.8086	2133.4556	
1858.0745	1934.9247	2049.5486	1981.9745	2198.4133	2130.425	
1853.7931	1930.2678	2044.3646	1977.7278	2193.224	2125.3354	
1849.9939	1926.1569	2039.6455	1973.8798	2188.7637	2121.0796	
1838.3633	1914.3639	2025.1084	1962.7142	2175.0754	2107.7195	
1838.3439	1914.1978	2024.4888	1962.9255	2175.4485	2106.6887	
1837.3184	1913.0642	2022.2239	1960.7041	2173.9133	2106.6428	
1836.0552	1911.9623	2022.247	1959.7566	2172.1724	2106.8813	
1821.616	1896.4918	2006.5902	1945.5848	2156.998	2092.502	
1821.4974	1894.9357	2005.6434	1945.0706	2155.799	2092.5122	
1822.7242	1896.7643	2007.0543	1946.5726	2156.7205	2093.545	
1819.5884	1893.2449	2003.7859	1943.2843	2152.9	2089.764	
1817.9214	1891.8113	2002.0819	1941.499	2151.098	2087.862	
1818.0184	1891.6521	2002.045	1941.3047	2150.9714	2085.6033	
1814.9745	1889.0112	1998.3353	1938.131	2146.9243	2081.8496	
1815.7944	1887.9745	1999.6923	1939.2344	2148.1094	2080.5098	
1819.227	1891.1869	2002.8154	1943.1823	2151.9907	2085.0122	
1822.826	1895.2025	2007.6611	1946.7255	2156.3262	2089.169	
1827.5625	1900.7145	2013.8109	1952.5231	2162.788	2095.5098	
1824.4027	1897.655	2010.0719	1948.7416	2159.387	2091.7158	
1826.879	1901.9047	2012.7747	1951.9764	2162.5195	2094.5718	
1827.8501	1903.201	2013.2997	1953.0349	2163.7568	2095.6382	
1826.7146	1901.6677	2011.4614	1951.9938	2161.96	2094.7307	
1826.6222	1901.6871	2011.069	1951.48	2160.9497	2094.742	
