Data File Name,2100 expert_High Sensitivity DNA Assay_DE13807144_2017-08-04_14-04-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-08-04
Date Created,04 August 2017 13:04:08
Date Last Modified,04 August 2017 14:40:00
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
72.2,1.490237
72.25,1.50963
72.3,1.486996
72.35,1.360203
72.4,1.022095
72.45,0.8800556
72.5,0.9024074
72.55,0.8934743
72.6,0.8889787
72.65,0.9371777
72.7,0.8795383
72.75,0.8105794
72.8,0.7593865
72.85,0.7312748
72.9,0.6766153
72.95,0.7596651
73,0.899134
73.05,0.9807143
73.1,1.029343
73.15,0.9662992
73.2,0.8679499
73.25,0.7973421
73.3,0.8705929
73.35,0.947964
73.4,0.9390861
73.45,0.8483409
73.5,0.7872661
73.55,0.7969041
73.6,0.8443673
73.65,0.7911621
73.7,0.6371344
73.75,0.5158514
73.8,0.5038039
73.85,0.5326105
73.9,0.4686323
73.95,0.4616491
74,0.5276057
74.05,0.6153617
74.1,0.7201227
74.15,0.7690775
74.2,0.6994334
74.25,0.5595921
74.3,0.5403533
74.35,0.5227188
74.4,0.5000519
74.45,0.5320814
74.5,0.5728703
74.55,0.6159005
74.6,0.5005098
74.65,0.5357916
74.7,0.5380965
74.75,0.5337864
74.8,0.4294383
74.85,0.3699699
74.9,0.3370083
74.95,0.2734125
75,0.4115919
75.05,0.4804134
75.1,0.4145615
75.15,0.2349486
75.2,0.2799207
75.25,0.3942568
75.3,0.3460829
75.35,0.4336267
75.4,0.3263493
75.45,0.112861
75.5,2.250151E-02
75.55,0.1377822
75.6,0.2321704
75.65,0.3063942
75.7,0.444377
75.75,0.3433961
75.8,0.2771362
75.85,0.2031449
75.9,0.1901437
75.95,0.1265084
76,5.856598E-02
76.05,6.227144E-02
76.1,5.430558E-02
76.15,0.1909216
76.2,0.1877297
76.25,0.1372864
76.3,0.1091591
76.35,0.02944
76.4,7.540534E-02
76.45,4.864359E-02
76.5,9.796497E-02
76.55,0.0549969
76.6,2.780883E-02
76.65,-3.136762E-02
76.7,-5.992419E-02
76.75,4.491489E-02
76.8,-1.239289E-03
76.85,-8.139591E-02
76.9,-5.162855E-02
76.95,-0.1626732
77,-0.1519148
77.05,-1.515193E-02
77.1,0.1032171
77.15,0.1438089
77.2,0.1690885
77.25,0.1651649
77.3,0.2421637
77.35,0.4411041
77.4,0.9849863
77.45,2.646445
77.5,6.921099
77.55,16.46163
77.6,33.94588
77.65,63.18034
77.7,105.6328
77.75,157.8097
77.8,213.5988
77.85,261.589
77.9,291.417
77.95,293.8188
78,269.5261
78.05,224.7809
78.1,173.0663
78.15,123.8078
78.2,83.96007
78.25,55.7555
78.3,36.80258
78.35,25.76513
78.4,19.73852
78.45,15.96319
78.5,13.46861
78.55,12.00028
78.6,10.64482
78.65,9.2735
78.7,8.240087
78.75,7.3958
78.8,6.419048
78.85,5.559514
78.9,4.643102
78.95,4.046258
79,3.566639
79.05,3.261458
79.1,2.829209
79.15,2.369194
79.2,2.124867
79.25,1.936145
79.3,1.865011
