TOTAL_BASES	EXPECTED_DISTINCT
4540000000.0	1589197900.0
4550000000.0	1590676830.0
4560000000.0	1592151450.0
4570000000.0	1593622050.0
4580000000.0	1595090130.0
4590000000.0	1596554510.0
4600000000.0	1598016300.0
4610000000.0	1599473740.0
4620000000.0	1600929640.0
4630000000.0	1602380940.0
4640000000.0	1603828370.0
4650000000.0	1605272540.0
4660000000.0	1606715570.0
4670000000.0	1608152910.0
4680000000.0	1609589400.0
4690000000.0	1611020150.0
4700000000.0	1612449760.0
4710000000.0	1613874860.0
4720000000.0	1615297950.0
4730000000.0	1616717300.0
4740000000.0	1618133750.0
4750000000.0	1619544980.0
4760000000.0	1620955110.0
4770000000.0	1622363130.0
4780000000.0	1623766000.0
4790000000.0	1625166390.0
4800000000.0	1626563020.0
4810000000.0	1627957670.0
4820000000.0	1629350200.0
4830000000.0	1630737680.0
4840000000.0	1632123460.0
4850000000.0	1633505610.0
4860000000.0	1634883700.0
4870000000.0	1636260140.0
4880000000.0	1637632980.0
4890000000.0	1639003560.0
4900000000.0	1640370240.0
4910000000.0	1641734790.0
4920000000.0	1643096440.0
4930000000.0	1644455010.0
4940000000.0	1645809130.0
4950000000.0	1647162210.0
4960000000.0	1648512320.0
4970000000.0	1649856600.0
4980000000.0	1651202160.0
4990000000.0	1652542620.0
5000000000.0	1653880980.0
5010000000.0	1655217370.0
5020000000.0	1656549210.0
5030000000.0	1657878230.0
5040000000.0	1659205310.0
5050000000.0	1660528150.0
5060000000.0	1661849780.0
5070000000.0	1663167400.0
5080000000.0	1664483470.0
5090000000.0	1665795550.0
5100000000.0	1667105770.0
5110000000.0	1668411900.0
5120000000.0	1669717360.0
5130000000.0	1671018290.0
5140000000.0	1672317890.0
5150000000.0	1673613970.0
5160000000.0	1674906720.0
5170000000.0	1676198610.0
5180000000.0	1677485920.0
5190000000.0	1678772470.0
5200000000.0	1680054640.0
5210000000.0	1681334500.0
5220000000.0	1682612090.0
5230000000.0	1683887090.0
5240000000.0	1685158560.0
5250000000.0	1686427620.0
5260000000.0	1687694900.0
5270000000.0	1688958400.0
5280000000.0	1690220570.0
5290000000.0	1691479470.0
5300000000.0	1692736250.0
5310000000.0	1693988980.0
5320000000.0	1695240980.0
5330000000.0	1696489690.0
5340000000.0	1697735770.0
5350000000.0	1698978980.0
5360000000.0	1700220010.0
5370000000.0	1701457890.0
5380000000.0	1702695430.0
5390000000.0	1703927430.0
5400000000.0	1705158970.0
5410000000.0	1706388060.0
5420000000.0	1707613800.0
5430000000.0	1708838720.0
5440000000.0	1710059020.0
5450000000.0	1711276950.0
5460000000.0	1712493810.0
5470000000.0	1713707680.0
5480000000.0	1714918990.0
5490000000.0	1716128510.0
5500000000.0	1717333570.0
5510000000.0	1718538490.0
5520000000.0	1719739730.0
5530000000.0	1720939040.0
5540000000.0	1722135590.0
5550000000.0	1723330710.0
5560000000.0	1724522650.0
5570000000.0	1725711760.0
5580000000.0	1726899840.0
5590000000.0	1728084260.0
5600000000.0	1729266180.0
5610000000.0	1730446560.0
5620000000.0	1731625900.0
5630000000.0	1732801830.0
5640000000.0	1733974540.0
5650000000.0	1735146120.0
5660000000.0	1736314960.0
5670000000.0	1737481560.0
5680000000.0	1738645300.0
5690000000.0	1739806780.0
5700000000.0	1740967160.0
5710000000.0	1742123930.0
5720000000.0	1743279030.0
5730000000.0	1744432450.0
5740000000.0	1745583160.0
5750000000.0	1746732500.0
5760000000.0	1747878140.0
5770000000.0	1749022290.0
5780000000.0	1750163770.0
5790000000.0	1751303560.0
5800000000.0	1752440740.0
5810000000.0	1753575470.0
5820000000.0	1754708360.0
5830000000.0	1755839520.0
5840000000.0	1756968270.0
5850000000.0	1758094640.0
5860000000.0	1759219680.0
5870000000.0	1760341000.0
5880000000.0	1761461060.0
5890000000.0	1762578910.0
5900000000.0	1763695690.0
5910000000.0	1764808520.0
5920000000.0	1765920310.0
5930000000.0	1767029010.0
5940000000.0	1768137300.0
