Distance from GATC site	Reads + strand	Reads - strand
-1554	89434.000000	89292.500000
-1553	89472.000000	90099.000000
-1552	88754.000000	89492.500000
-1551	88738.000000	89386.500000
-1550	89553.500000	89800.500000
-1549	89753.000000	89051.500000
-1548	89432.500000	89590.500000
-1547	90165.500000	89797.500000
-1546	89826.500000	88774.000000
-1545	89896.000000	89173.500000
-1544	89458.000000	90152.000000
-1543	89450.500000	89522.000000
-1542	89199.500000	89696.500000
-1541	89192.500000	89696.000000
-1540	89657.000000	89237.000000
-1539	88686.000000	90217.000000
-1538	89591.000000	89603.500000
-1537	89431.500000	89508.500000
-1536	90021.500000	90304.500000
-1535	89447.500000	90099.000000
-1534	89370.500000	88526.500000
-1533	89355.500000	89845.000000
-1532	89363.500000	90412.000000
-1531	88801.500000	90155.000000
-1530	89869.000000	89639.500000
-1529	89718.500000	89360.000000
-1528	89298.000000	89794.500000
-1527	89043.500000	89118.500000
-1526	89249.500000	89220.500000
-1525	89742.000000	89931.500000
-1524	89297.000000	89690.500000
-1523	89143.000000	89538.500000
-1522	90250.000000	89381.000000
-1521	89492.000000	90252.000000
-1520	89414.500000	90516.500000
-1519	89358.000000	89759.500000
-1518	89522.000000	90278.000000
-1517	89750.500000	89493.500000
-1516	89609.000000	88850.000000
-1515	90364.000000	90323.000000
-1514	89507.500000	89303.000000
-1513	89913.500000	90028.000000
-1512	89757.500000	89704.500000
-1511	89571.500000	89645.000000
-1510	90026.000000	89536.000000
-1509	88814.500000	89739.500000
-1508	89184.500000	90023.000000
-1507	88722.500000	90052.000000
-1506	89396.500000	90320.500000
-1505	89570.500000	89501.000000
-1504	89506.500000	88850.000000
-1503	89546.500000	89936.500000
-1502	89167.000000	90243.500000
-1501	89488.000000	89243.500000
-1500	89611.500000	89084.000000
-1499	89411.500000	89500.000000
-1498	89539.000000	89915.000000
-1497	89225.500000	89607.000000
-1496	89403.500000	89506.500000
-1495	88921.500000	90035.500000
-1494	89804.500000	88898.500000
-1493	89300.000000	89674.500000
-1492	89696.000000	89113.000000
-1491	90229.000000	89535.000000
-1490	89696.500000	89346.000000
-1489	89215.500000	89837.000000
-1488	89413.500000	89356.500000
-1487	89651.000000	90354.500000
-1486	89317.000000	89414.000000
-1485	89517.000000	89806.500000
-1484	89466.000000	90061.500000
-1483	89461.000000	90830.500000
-1482	89609.500000	90019.000000
-1481	89705.000000	89296.000000
-1480	89569.000000	90094.000000
-1479	89569.500000	89793.500000
-1478	89706.000000	88948.500000
-1477	89187.000000	89882.000000
-1476	90190.000000	90455.500000
-1475	89597.500000	89673.500000
-1474	89704.500000	89859.000000
-1473	88851.500000	89422.000000
-1472	89842.000000	89743.500000
-1471	89375.000000	89510.500000
-1470	88363.500000	89579.000000
-1469	89804.000000	89846.000000
-1468	89545.000000	89257.000000
-1467	89231.500000	89711.000000
-1466	89500.000000	89961.000000
-1465	89220.500000	90145.500000
-1464	89302.000000	89766.000000
-1463	89495.500000	89379.000000
-1462	89759.500000	89500.000000
-1461	89676.500000	90507.500000
-1460	89503.000000	90164.000000
-1459	89414.000000	89326.000000
-1458	89062.000000	89577.500000
-1457	89258.500000	89744.000000
-1456	88915.500000	89138.000000
-1455	89204.500000	90026.000000
-1454	89362.500000	90096.500000
-1453	88941.500000	89510.500000
-1452	89964.000000	89631.000000
-1451	89508.000000	89336.500000
-1450	88906.500000	89770.000000
-1449	89391.000000	89554.000000
-1448	88618.000000	89861.500000
-1447	89409.500000	89267.500000
-1446	89743.500000	89934.000000
-1445	89611.000000	90374.000000
-1444	89448.000000	89978.000000
-1443	89482.000000	89175.000000
-1442	90261.000000	89397.500000
-1441	89637.000000	89349.000000
-1440	89883.000000	88760.000000
-1439	89261.000000	89774.000000
-1438	88555.500000	90464.500000
-1437	89528.000000	89615.000000
-1436	88678.500000	89245.500000
-1435	89552.500000	89798.500000
-1434	89825.500000	89146.000000
-1433	89159.000000	89710.000000
-1432	89526.000000	89208.500000
-1431	88827.000000	89453.500000
-1430	89523.000000	89511.000000
-1429	89376.000000	89465.000000
-1428	89299.500000	89863.000000
-1427	89368.000000	89918.500000
-1426	88950.500000	90000.000000
-1425	89712.000000	89787.000000
-1424	89409.000000	89568.500000
-1423	89747.000000	90164.500000
-1422	89423.500000	89806.000000
-1421	89453.500000	89446.500000
-1420	89188.000000	89673.500000
-1419	88829.500000	89668.000000
-1418	90008.000000	90116.500000
-1417	89556.000000	89616.000000
-1416	89780.000000	89156.000000
-1415	89286.000000	89332.500000
-1414	89914.000000	89986.500000
-1413	88903.500000	89814.500000
-1412	89120.500000	89375.500000
-1411	89302.000000	89127.500000
-1410	89334.000000	89690.500000
-1409	89212.500000	89272.500000
-1408	89457.500000	89468.500000
-1407	89536.000000	89798.500000
-1406	89616.000000	89347.000000
-1405	89965.500000	89322.000000
-1404	88878.500000	90022.000000
-1403	89665.500000	89298.000000
-1402	89448.500000	89374.000000
-1401	89886.000000	89469.500000
-1400	89387.500000	89591.000000
-1399	89323.000000	89893.000000
-1398	89678.000000	90116.500000
-1397	88662.000000	89384.000000
-1396	89095.500000	89278.500000
-1395	88638.500000	90109.000000
-1394	90262.500000	90308.500000
-1393	90295.000000	90233.500000
-1392	88925.500000	89651.000000
-1391	89117.000000	89981.000000
-1390	89458.500000	90462.500000
-1389	89682.500000	89515.500000
-1388	89662.500000	89363.000000
