WTCHG_171117_262	WTCHG_171117_264	
1360.5936	976.61505	
1363.5995	977.8401	
1362.9885	977.17267	
1361.4714	976.12744	
1360.6666	975.1949	
1360.1709	975.49243	
1358.3027	973.05804	
1357.5057	972.5064	
1357.8439	971.86975	
1357.1285	969.7035	
1351.7402	966.65894	
1352.3629	966.31036	
1353.3599	967.1425	
1351.0485	962.72314	
1348.1372	963.48364	
1346.7244	962.6028	
1348.5548	963.0771	
1349.1074	964.81055	
1347.2612	962.8103	
1347.5475	963.42084	
1346.9271	963.45776	
1346.1886	962.35443	
1342.9352	959.20654	
1341.3627	957.08575	
1341.913	957.2553	
1341.2761	956.11884	
1339.4083	954.6659	
1340.6946	956.1319	
1339.1812	954.4758	
1339.4872	954.5578	
1340.0477	953.7497	
1339.0361	949.91974	
1337.049	948.1194	
1334.8439	946.27185	
1333.5374	944.7139	
1332.4836	942.79315	
1333.3469	942.0284	
1331.6133	940.7219	
1331.5006	940.6718	
1329.3883	938.9668	
1328.4847	939.2557	
1327.6354	938.3155	
1329.8849	939.60504	
1328.6945	938.0967	
1327.3055	936.0692	
1328.2788	935.67145	
1327.3816	934.0323	
1326.6298	933.41797	
1325.6191	932.4635	
1325.0023	932.1485	
1323.2194	930.0479	
1324.3293	930.47723	
1323.5383	929.96643	
1326.5148	931.03485	
1325.3953	929.7644	
1326.1403	929.7923	
1324.157	928.0157	
1322.5505	926.5254	
1320.7432	924.8285	
1321.3036	925.3035	
1320.2893	924.48975	
1319.9214	922.75574	
1320.1108	922.9237	
1319.3182	921.5981	
1320.3496	923.4533	
1326.488	923.9514	
1322.4916	919.0413	
1321.515	918.50366	
1320.6354	917.3078	
1321.4614	917.5944	
1319.6012	915.08405	
1318.2543	914.06946	
1316.7662	912.6797	
1317.702	913.0622	
1317.8877	912.6337	
1316.2971	911.768	
1314.4662	910.6166	
1315.2745	910.4462	
1318.9332	912.59265	
1319.1262	912.1558	
1322.916	914.94086	
1323.218	916.18866	
1320.0852	913.328	
1319.1769	912.6049	
1311.4225	911.4067	
1306.1027	906.9233	
1304.0171	905.0012	
1300.5587	901.8267	
1300.2534	901.0558	
1299.0944	899.27545	
1300.6393	899.27203	
1299.6687	897.7379	
1301.5442	897.959	
1302.3604	897.86444	
1305.0714	898.76465	
1305.9703	898.2509	
1304.4073	895.5468	
1303.563	894.8627	
1303.126	895.8738	
1301.6827	895.3212	
1302.0024	895.04254	
1300.7343	893.5019	
1300.87	895.04767	
1302.6791	897.03265	
1302.6427	896.4189	
1301.2023	895.278	
1300.0248	894.2453	
1294.5608	890.92957	
1295.0348	892.1965	
1293.7528	891.20154	
1292.1168	889.7141	
1289.4596	887.9736	
1288.663	886.8953	
1286.0535	885.1324	
1284.2227	882.46155	
1282.6301	881.2475	
1281.7372	880.1149	
1280.1357	878.5063	
1278.1956	877.03534	
1276.858	876.20483	
1277.9451	875.9987	
1277.0	876.2081	
1276.2476	875.2957	
1278.8073	877.16156	
1280.1377	878.3931	
1279.1077	877.729	
1281.187	879.0434	
1280.1041	877.4196	
1276.7616	876.834	
1277.6289	876.9321	
1277.262	876.8359	
1275.4962	875.7218	
1276.2711	879.2365	
1276.6881	880.3925	
1275.4349	878.9241	
1272.6165	876.04254	
1271.0912	875.7213	
1271.8416	876.4108	
1272.1143	874.8592	
1274.9504	878.39764	
1274.5776	877.7912	
1276.3759	879.2416	
1275.4094	878.1547	
1273.4713	876.0508	
1273.2545	876.22815	
1269.1151	875.29724	
1265.9412	873.38513	
1266.8054	874.3791	
1265.3411	873.055	
1264.459	873.9358	
1263.1295	872.6933	
1261.2705	871.48627	
1257.5372	868.9109	
1257.1027	869.4803	
1257.0424	870.07623	
1257.7992	871.53357	
1256.4916	871.8773	
1255.6473	871.0	
1255.3204	870.281	
1256.9717	870.51385	
1257.467	870.3016	
1258.9819	871.35944	
1257.6029	871.6202	
1255.1061	869.9296	
1253.2937	867.50464	
1251.1669	865.494	
1251.9779	865.8109	
1250.4164	865.05725	
1245.1284	860.45404	
1242.323	858.6085	
1235.5979	854.478	
1234.0352	853.64703	
1231.0819	851.59894	
1229.1405	849.92645	
1227.2068	848.512	
1228.7236	849.4786	
1211.4629	841.9732	
1210.3416	841.23193	
1211.1735	843.15436	
1212.3629	844.55914	
1214.6335	847.6532	
1214.7749	848.0068	
1215.9895	849.33514	
1218.6558	852.52844	
1215.4658	851.71643	
1214.5605	851.7459	
1211.7882	850.76764	
1211.8301	851.22314	
1210.191	850.6667	
1208.7444	849.7279	
1206.498	848.25305	
1203.494	845.75916	
1195.2827	835.4611	
1196.8927	837.6142	
1194.5629	836.1026	
1191.6887	834.57184	
1189.408	833.7743	
1186.89	832.1918	
1184.2782	829.8452	
1183.3496	828.94794	
1182.6486	829.7239	
1181.4111	828.5467	
1180.3992	827.67444	
1181.1875	827.72314	
1179.6144	827.34985	
1177.8671	826.1846	
1177.5939	825.9876	
1177.6813	826.26245	
1176.5387	826.34717	
1175.56	825.93085	
1176.012	826.70636	
1177.3436	827.74756	
1176.0361	826.71014	
1178.9785	829.89557	
1178.0216	832.34314	
1179.9216	835.1491	
1181.4851	835.84344	
1179.9661	834.53735	
1182.9619	837.6224	
1180.4905	837.0255	
1177.2772	836.19714	
1176.2961	836.078	
1177.4231	836.652	
1174.6653	834.2983	
1173.7057	834.5989	
1172.5422	833.4495	
1172.2432	832.8476	
1167.9932	830.44727	
1167.6202	829.35187	
1166.8674	828.94727	
1165.2008	827.82623	
1168.7866	831.25714	
1168.9918	831.49786	
1169.6886	831.7378	
1169.5233	832.64276	
1170.3013	833.3017	
1173.4758	836.42487	
1172.1562	835.3656	
1172.3306	835.29047	
1171.4972	835.40234	
1173.223	836.3314	
1175.3717	838.1609	
1173.663	836.6319	
1173.7153	837.0755	
1172.1583	836.1263	
1169.8917	835.9172	
1168.8623	835.75543	
1165.8984	833.52985	
1166.1462	833.25653	
1165.6462	832.2332	
1163.9526	830.3382	
1161.149	828.31195	
1161.1509	826.2544	
1139.8657	816.2269	
1139.3706	815.30896	
1142.007	816.699	
1142.5913	817.1706	
1143.0015	816.94696	
1143.2465	815.76733	
1143.0028	816.00885	
